bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,exclude,"IC1 is satisfied: the abstract is explicitly about “Digital Building Twins (DBT)” and provides an explicit understanding/definition of a DBT as a “lively representation of a buildings' status and environment,” indicating the digital twin is central. IC2 is only weakly/ambiguously satisfied: it claims Semantic Web technologies enable “explainable decision-support,” but does not explicitly describe any concrete explainability/XAI mechanism (method, model, interface, evaluation, or formal analysis) within the digital twin beyond this label. IC3 is not satisfied: the abstract does not explicitly define any human roles (operator/decision-maker/analyst) nor describe human-in-the-loop/on-the-loop or human-centered interaction in the system architecture or evaluation. Since all criteria must be explicitly met and IC3 is missing (and IC2 lacks concrete mechanism detail), the article is excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:22.061102,3.933288097381592
rayyan-471934195,Developing DELPHI expert consensus rules for a digital twin model of acute stroke care in the neuro critical care unit,exclude,"IC1 (Digital Twin central): Satisfied. The paper’s purpose is to develop DELPHI consensus rules specifically “for the development of a digital twin model for use in the neurologic ICU,” and the rules are intended to “inform the construction of the digital twin model.”

IC2 (Explicit XAI/interpretability within DT context): Satisfied. The conclusion explicitly makes an interpretability claim tied to the digital-twin approach: “digital twin AI created by the DELPHI process are easily interpretable models” compared to associative AI.

IC3 (Explicit human roles or human-in/on-the-loop interaction in system/evaluation): Not satisfied. The only human involvement described is an expert panel participating in DELPHI during rule elicitation/model development. The abstract does not explicitly define any runtime human role (e.g., clinician/operator/decision-maker) in the digital twin’s use, nor any human-in-the-loop/on-the-loop mechanism or human-centered interaction as part of the system architecture or evaluation. Because IC3 is missing, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:26.683710,4.621000051498413
rayyan-471934200,Visual analytics for digital twins: a conceptual framework and case study,exclude,"IC1 is satisfied: the work is explicitly centered on “visual analytics for digital twins,” proposing a “conceptual visual analytics framework for digital twins (DTVA)” and analyzing DT visual representation, analytical reasoning, and a human–machine interface within the DT context. IC3 is satisfied: the abstract explicitly positions humans as decision-makers/analysts (“navigating humans through twin data,” integrating “human domain experience and cognitive abilities”) and includes a “human–machine interface (DTI)” component as part of the framework. IC2 is NOT satisfied: the abstract does not explicitly propose, implement, evaluate, or formally analyze explainability/interpretability/transparency/XAI mechanisms in the digital twin context; it focuses on visual analytics, guidance, and decision support without unambiguous XAI language or clearly described explainability methods. Per Phase 3 rules, missing IC2 requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:30.210439,3.5227372646331787
rayyan-471934424,A DT framework integrating human and artificial intelligence for power consumption prediction in CNC machining,exclude,"IC1 satisfied: The paper centrally proposes and applies a “human-centric digital twin framework (HCDT)” / “applied digital twin (ADT)” for a specific CNC milling machine, aligned with ISO 23247, and the DT is the core system concept. IC2 not satisfied: Although the abstract states “the addition of explainability… has developed the trustworthiness,” it does not explicitly describe any explainability/XAI mechanism (e.g., feature attributions, rule extraction, interpretable model choice justified as explainable, explanation interface, transparency metrics) being proposed, implemented, or evaluated within the DT; the mention is vague and non-specific. IC3 not satisfied: The abstract claims the DT “incorporates human intelligence” and is “human-centric,” but it does not explicitly define human roles (operator/engineer/decision-maker) nor describe a concrete human-in-the-loop/on-the-loop interaction, workflow, or evaluation involving humans. Because IC2 and IC3 are ambiguous/unsupported by explicit abstract evidence, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:33.859691,3.6475634574890137
rayyan-471934450,Urban Digital Twins and metaverses towards city multiplicities: uniting or dividing urban experiences?,exclude,"IC1 is satisfied: the article is centrally about Urban Digital Twins (UDTs), their conceptualization, applications, and future realizations, with metaverse-related extensions. IC2 is not satisfied: the abstract does not explicitly propose, implement, evaluate, or formally analyze any explainability/interpretability/transparency/XAI mechanism within the digital twin; “transparency” is mentioned only as a societal risk alongside privacy/fairness, not as a DT-embedded method or evaluated approach. IC3 is not satisfied at the required explicitness: although it discusses “interaction and participation,” “participatory urban governance,” and “human-centric approaches,” it does not concretely define human roles (e.g., operator/decision-maker) nor describe a human-in-the-loop/on-the-loop architecture or evaluation. Because IC2 (and IC3) lack explicit support in the abstract, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:37.213883,3.3531653881073
rayyan-471934527,A digital twin-based biomechanical and psychosocial coupling framework for university sports dance training and evaluation,exclude,"IC1 (Digital Twin central): Satisfied. The abstract frames the contribution as a “digital twin-based framework” integrating 3D modeling and real-time data for sports dance training/evaluation.

IC2 (Explicit XAI/interpretability within digital twin): Not satisfied. Although the abstract claims improved “interpretability” versus clustering baselines, it does not explicitly describe any explainability/interpretability mechanism (e.g., feature attribution, rule extraction, transparent model design, explanations to users) within the digital twin context. “Interpretability” appears as a comparative performance claim, not an explicit XAI component.

IC3 (Explicit human roles / human-in-the-loop): Not satisfied. The abstract involves students as participants being evaluated, but it does not explicitly define human roles (operator/coach/decision-maker/analyst) or describe a human-in-the-loop/on-the-loop interaction mechanism as part of the system architecture or evaluation.

Because IC2 and IC3 are missing/ambiguous based on the abstract, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:40.854251,3.6384735107421875
rayyan-471934681,Predicting Recovery Factor with Digital Twins and Interpretable Machine Learning: A Case Study of South China Sea Reservoirs,exclude,"IC1 (Digital Twin centrality): Satisfied. The abstract explicitly states the study uses “digital twin technology” to calculate well conversion ratios and generate “virtual development” samples to enhance recovery factor prediction, indicating DT is a defining part of the data-generation/prediction workflow.

IC2 (Explainability/XAI within DT context): Satisfied. The abstract explicitly reports “Feature importance analysis using SHAP… providing transparency,” which is a concrete interpretability mechanism applied to the model trained on the DT-augmented dataset.

IC3 (Explicit human roles / human-in-the-loop): Not satisfied. The abstract mentions “transparent… decision-making” and a “user-friendly web application… for real-time forecasting,” but it does not explicitly define any human roles (e.g., operator/engineer/analyst/decision-maker) nor describe any human-in-the-loop/on-the-loop interaction as part of the system architecture or evaluation. Usability claims alone are insufficient under the Phase 3 rule requiring explicit human-role/interaction evidence.

Because IC3 is missing, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:45.255760,4.397526264190674
rayyan-471934809,Transparency in large language model (LLM)-powered digital human twins: the AI ethics perspective,exclude,"IC1 (Digital Twin central/defining) is not explicitly satisfied. The abstract discusses “digital human twins (DHTs)” as LLM-powered systems that mimic human behaviors, but it does not clearly define them as Digital Twins in the standard DT sense (e.g., a twin of a physical/real-world entity with a DT architecture, synchronization, or DT framework). The DT concept/architecture is therefore ambiguous based on the abstract alone. IC2 is satisfied: transparency/algorithmic opacity is a primary focus and the paper proposes concrete transparency strategies (e.g., tiered transparency models, disclosures, regulatory oversight) in the DHT context. IC3 is satisfied: it includes qualitative interviews with users and explicitly emphasizes user understanding, autonomy, and user-centric design (human-centered interaction/evaluation). Because Phase 3 requires all criteria to be explicitly and unambiguously met and IC1 is ambiguous, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:48.822498,3.563690185546875
rayyan-471934829,Large language models forecast patient health trajectories enabling digital twins,exclude,"IC1 is satisfied: the work centrally proposes a Digital Twin system for virtual patient representations (“Digital Twin—Generative Pretrained Transformer (DT-GPT)”) and frames forecasting as enabling digital twins. IC2 is satisfied: it explicitly claims “demonstrated explainability through a human-interpretable interface,” which is an explicit XAI/interpretability mechanism within the DT-GPT digital twin context. IC3 is NOT satisfied: the abstract does not explicitly define any human roles (e.g., clinician, operator, decision-maker) nor does it explicitly describe human-in-the-loop/on-the-loop/human-centered interaction as part of the system architecture or evaluation; mentioning a “human-interpretable interface” alone does not explicitly establish human involvement or roles. Because all criteria must be explicitly met and IC3 is missing, the article is excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:51.930984,3.1053619384765625
rayyan-471935141,Proposal for a Digital Twin Approach Based on Uncertainty Management Interactive Optimisation,exclude,"IC1 is satisfied: the abstract explicitly states it introduces “a digital twin approach” and repeatedly frames the method/tool “for the digital twin application,” indicating DT is central to the proposed system. IC3 is satisfied: it explicitly includes human interaction and roles via “a graphical tool that allows users to manually adjust variables” and notes “engineers can improve decision-making,” which is clear human-in-the-loop use. IC2 is not satisfied: although the work mentions uncertainty management, traceability, sensitivity analysis, Monte Carlo simulation, and decision-making support, the abstract does not explicitly frame any of these as explainability/interpretability/transparency/XAI mechanisms within the digital twin context (no explicit claims, terminology, or formal discussion of explainability/XAI). Because all criteria must be explicitly met and IC2 is missing, the article is excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-03-18T16:51:55.241320,3.30729079246521
