bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,exclude,"IC1 not met: The abstract centers on a 'digital proxy' (DIYBOT) and does not explicitly frame the work as a Digital Twin or within a Digital Twin architecture. Under strict criteria, this is insufficient. IC2 not met: There is no explicit proposal, implementation, or evaluation of explainability, interpretability, transparency, or XAI mechanisms; analysis of phase-space dynamics and performance implications is presented, but no XAI is explicitly discussed. IC3 is satisfied: the abstract explicitly references human-in-the-loop corrective management actions. However, because IC1 and IC2 are not explicitly satisfied in the abstract/metadata, the article is excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:47:15.633413,14.085106372833252
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",exclude,"Fails multiple strict inclusion criteria and meets an exclusion criterion. (IC1) No proposed architecture/system with Digital Twin as a central concept; the abstract states it is an overview and only mentions Digital Twin in passing for pose verification. (IC2) No explicit proposal, implementation, evaluation, or formal discussion of explainability/transparency mechanisms within a Digital Twin context; explainability is mentioned only as motivation. (IC3) No explicit human roles or human-in-the-loop/ human-centered mechanisms described. Additionally, (EC3) the article is an overview/secondary study (“gives an overview of present advances”), which is excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:47:27.196152,11.560714960098267
rayyan-471934070,Real-time discrete event simulation: a framework for an intelligent expert system approach utilising decision trees,exclude,"IC1 not satisfied: the abstract/metadata do not explicitly mention Digital Twin nor present it as a central concept; the work is framed as a real-time discrete event simulation framework. IC2 not satisfied in the required context: while regression/classification trees are used to aid understanding, this is not explicitly within a Digital Twin context. IC3 not satisfied: no explicit human roles or human-in-the-loop/on-the-loop mechanisms are defined; the abstract only generically mentions 'stakeholders' without specifying roles or interaction mechanisms. Therefore, under strict Phase 2 criteria, the article should be excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:47:41.611175,14.412994384765625
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis",exclude,"IC1 is explicitly satisfied: the MFIN is presented as a Digital Twin framework and the abstract states it enables a digital twin description. However, IC2 is not explicitly satisfied: there is no proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms within the Digital Twin context. IC3 is not explicitly satisfied: the abstract does not define human roles nor incorporate human-in-the-loop/centered interaction. EC2 effectively applies: the work focuses on integrating materials data for physics-based/damage-tolerant analysis within a Digital Twin without any reference to explainability or human-related aspects. Therefore, the article fails the strict inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:47:49.032340,7.419139862060547
rayyan-471934075,An Agent-Based Digital Twin for Exploring Localized Non-pharmaceutical Interventions to Control COVID-19 Pandemic,exclude,"IC1 is satisfied: the abstract explicitly positions a city-scale agent-based model as a digital twin and uses it centrally for scenario analysis. However, IC2 is not satisfied: there is no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms within the digital twin context in the abstract/metadata. IC3 is not satisfied: the abstract does not explicitly define human roles (e.g., operator, policymaker) or describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms as part of the system. Given the strict requirement for explicit evidence in Phase 2, the article fails IC2 and IC3 and should be excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:48:05.879750,16.847409963607788
rayyan-471934077,Molecular function recognition by supervised projection pursuit machine learning,exclude,"IC1: The abstract mentions ""digital twin molecular dynamics simulations"" paired with experiments, but does not describe a Digital Twin architecture/system as a central concept; centrality is ambiguous. IC2: No explicit discussion of explainability, interpretability, transparency, or XAI mechanisms within the Digital Twin context; feature extraction/selection and hypothesis generation are not framed as XAI. IC3: No explicit human roles or human-in-the-loop/on-the-loop mechanisms are described. Given the absence of IC2 and IC3, and the focus on ML/simulation without human/XAI aspects, EC2 applies. Therefore, the article is excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:48:19.959523,14.078755140304565
rayyan-471934078,“Chatty Devices” and edge-based activity classification,exclude,"IC1 not satisfied: the abstract and metadata do not explicitly mention Digital Twin or present a DT-centered architecture/system. IC2 not satisfied: there is no explicit proposal or discussion of explainability, interpretability, transparency, or XAI mechanisms; the work focuses on edge-based/federated learning and activity classification. IC3 not satisfied: no explicit human roles or human-in/on-the-loop mechanisms are described; human–robot interaction and user privacy are mentioned only generically. While the article is peer-reviewed and in English, it fails all required inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:48:30.955316,10.993775606155396
rayyan-471934087,Cyber-Physical Loops as Drivers of Value Creation in NDE 4.0,exclude,"IC1 not clearly met: Digital Twin is only mentioned as part of cyber-physical loops in NDE 4.0; the abstract presents an overview of value streams and use cases rather than a Digital Twin–centric architecture/system/framework. IC2 not met: there is no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI in the Digital Twin context. IC3 not met: while stakeholder groups are listed, the abstract does not explicitly define human roles within a system or incorporate human-in/on-the-loop mechanisms. Given these explicit gaps, the article fails the strict inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:48:41.768175,10.811826944351196
rayyan-471934096,Corporate digital responsibility (CDR) in construction engineering—ethical guidelines for the application of digital transformation and artificial intelligence (AI) in user practice,exclude,"IC1 not satisfied: Digital Twin is not a central concept—DTs are only mentioned in passing (“for instance digital twins”) while the focus is on corporate digital responsibility and AI ethics in construction. IC2 not satisfied: The abstract does not explicitly propose, implement, evaluate, or formally discuss explainability/interpretability mechanisms, and there is no DT-specific XAI discussion. IC3 not satisfied: No explicit human roles or human-in-the-loop/on-the-loop mechanisms are defined as part of a Digital Twin system. Therefore, the article fails the strict inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:48:52.837371,11.066153049468994
rayyan-471934097,Process-oriented unstable state monitoring and strategy recommendation for burr suppression of weak rigid drilling system driven by digital twin,exclude,"IC1 satisfied: Digital Twin is central (""driven by the digital twin""; state mapping within the digital twin system). IC2 not satisfied: the abstract contains no explicit mention of explainability, interpretability, transparency, or XAI mechanisms—only monitoring via hidden Markov models and strategy recommendation via genetic algorithms. IC3 not satisfied: no explicit human roles or human-in-the-loop/on-the-loop interactions are described; recommendations appear algorithmic without stated human interaction. EC2 applies: the work focuses on monitoring, state mapping, and optimization within a Digital Twin without any reference to explainability or human-related aspects.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:49:00.348734,7.509331941604614
rayyan-471934098,Product design lifecycle information model (PDLIM),exclude,"IC1 not met: Digital Twin is only mentioned as a potential supporting technology; the central contribution is a Product Design Lifecycle Information Model (PDLIM), not a DT architecture/system. IC2 not met: The abstract provides no explicit discussion of explainability, interpretability, transparency, or XAI mechanisms within a DT context. IC3 partially related to human-centered/crowdsourcing design but does not explicitly define human roles or human-in-the-loop mechanisms within a DT system. Given the absence of explicit DT centrality and XAI elements, the article fails the strict inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:49:11.068140,10.71940565109253
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,maybe,"IC1 satisfied: Digital Building Twins are central (the paper defines DBT and positions project contributions around DBTs). IC2 satisfied: the abstract explicitly mentions providing 'explainable decision-support' via Semantic Web technologies. IC3 not explicitly satisfied: the abstract does not define human roles (e.g., operator, decision-maker) or describe human-in/on-the-loop mechanisms; 'decision-support' is mentioned but without explicit human interaction details. No clear EC violations. Due to the lack of explicit human-role integration, mark as maybe for further adjudication.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:49:38.224568,27.15439510345459
rayyan-471934104,Pipeline for ontology-based modeling and automated deployment of digital twins for planning and control of manufacturing systems,exclude,"IC1: Satisfied—Digital Twins are the central focus (pipeline for ontology-based modeling and deployment of digital twins). IC2: Not satisfied—no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms within the DT context; the term 'transparently explained' refers to the paper’s exposition, not XAI/interpretability. IC3: Not satisfied—no explicit human roles or human-in-the-loop/on-the-loop mechanisms are defined; mention of 'manual stations' does not explicitly specify human interaction mechanisms. Given missing explicit support for IC2 and IC3, the article is excluded under strict Phase 2 criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:49:49.904411,11.678820848464966
rayyan-471934114,A digital twin auxiliary approach based on adaptive sparse attention network for diesel engine fault diagnosis,exclude,"IC1: Satisfied. The title and abstract explicitly present a 'digital twin auxiliary approach' as the core of the diesel engine fault diagnosis method, indicating Digital Twin is central. IC2: Satisfied. The abstract explicitly addresses interpretability via an 'adaptive sparse attention mechanism,' with visualization to 'help explain the fault mechanism' and claims of 'clearer interpretability.' IC3: Not satisfied. The abstract/metadata do not explicitly define any human roles (e.g., operators, decision-makers) nor do they describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms. Given the strict requirement that all criteria be explicitly supported, failure to meet IC3 leads to exclusion.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:50:01.931117,12.023661613464355
rayyan-471934117,The materials tetrahedron has a “digital twin”,exclude,"IC1: Satisfied. The article centers on a materials–information twin tetrahedra (MITT) framework explicitly adapted from the concept of a digital twin, making DT a central organizing concept. IC2: Not satisfied. The abstract does not explicitly propose, implement, evaluate, or formally discuss explainability, interpretability, transparency, or XAI mechanisms within the digital twin context; FAIR data principles are mentioned but not XAI/interpretability/transparency. IC3: Not satisfied. While it references stakeholders and a communication platform, it does not explicitly define human roles (e.g., operator, decision-maker) or describe human-in/on-the-loop mechanisms as part of the system. Given missing IC2 and IC3, the article must be excluded under the strict criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:50:15.641520,13.708368301391602
rayyan-471934118,Human Digital Twin (HDT) Driven Human-Cyber-Physical Systems: Key Technologies and Applications,exclude,"IC1 appears satisfied based on the title explicitly centering Human Digital Twin (HDT) in Human-Cyber-Physical Systems. However, the abstract is not provided and the available metadata (title, journal, year) does not explicitly mention any explainability, interpretability, transparency, or XAI mechanisms (IC2), nor does it explicitly define human roles or human-in-the-loop/on-the-loop mechanisms (IC3). Under strict Phase 2 criteria, missing explicit evidence for IC2 and IC3 warrants exclusion.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T21:50:25.333828,9.68469762802124
