bibtex_id,title,abstract,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-662997969,Exploiting RDF Open Data Using NoSQL Graph Databases - ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,"RDF, or Resource Description Framework, is a well-established format for representing data. Based on the so-called RDF triples, it allows to represent data and properties over the data through the subject-predicate-object framework. By linking objects defined by unique identifiers, it is widely used for Open Data and Linked Open Data. On the other hand, relationships between objects are more and more managed through NoSQL graph databases which use the property graph model to structure information. Such databases provide indeed very efficient tools for handling huge volumes of complex data. They are especially powerful for retrieving relationships between objects (as for instance the famous friend of friend query). While many works have dealt with the transformation from various data formats to RDF, no work has addressed, as far as we know, the transformation from RDF to NoSQL graph databases. We thus consider this topic in this paper by proposing transformation rules and by testing our approach on real data.",exclude,"IC1 is satisfied: the abstract explicitly targets transformation from RDF (triples) to NoSQL graph databases using the property graph model, stating it proposes “transformation rules” and tests the approach on real data (i.e., a concrete RDF -> PG conversion method).
IC2 is not satisfied: the provided metadata does not explicitly identify a peer-reviewed venue or confirm this is a full conference/journal primary research paper. The only venue information is the label “ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS” with no journal/conference name, publisher, proceedings indication, or peer-review/full-paper status. Under Phase 3 rules, this ambiguity requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:28.821847,3.2386505603790283
rayyan-662998007,"An Ontology-Aware Unified Storage Scheme for Knowledge Graphs - WEB AND BIG DATA, PT I, APWEB-WAIM 2020","With the development of knowledge-based artificial intelligence, the scale of knowledge graphs has been increasing rapidly. The RDF graph and the property graph are two mainstream data models of knowledge graphs. On the one hand, with the development of the Semantic-Web, there are a large number of RDF knowledge graphs. On the other hand, property graphs are widely used in the graph database community. However, different families of data management methods of RDF graphs and property graphs have been seperately developed in each community over a decade, which hinder the interoperability in managing large knowledge graph data. To address this problem, we propose a unified storage scheme for knowledge graphs which can seamlessly accommodate both RDF and property graphs. Meanwhile, the concept of ontology is introduced to meet the need for RDF graph data storage and query load. Experimental results on the benchmark datasets show that the proposed ontology-aware unified storage scheme can effectively manage large-scale knowledge graphs and significantly avoid data redundancy.",exclude,"IC1 (explicit RDF↔Property-Graph mapping/conversion/query translation) is NOT satisfied. The abstract discusses an ""ontology-aware unified storage scheme"" that can ""accommodate both RDF and property graphs"" and improve interoperability, but it does not explicitly describe any concrete RDF→PG or PG→RDF mapping rules, schema transformation, data conversion procedure, or query translation between the two models. The contribution is framed as unified/co-storage and management (avoiding redundancy) rather than an explicit translation layer between RDF and PG.

IC2 (primary peer-reviewed full paper) is also NOT explicitly satisfied from the provided metadata. While ""APWEB-WAIM 2020"" suggests a conference proceedings venue, the record does not explicitly state that this is a peer-reviewed full research paper (vs. short paper/extended abstract/poster). Under Phase 3 rules, this ambiguity requires exclusion.

Because at least one inclusion criterion (IC1) is clearly missing and IC2 is not verifiable from the given abstract/metadata, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:32.793225,3.9691739082336426
rayyan-662998022,"Foundations to Query Labeled Property Graphs using SPARQL☆ - SEMANTICS FOR TRANSPORT AND APROACHES FOR MAKING DATA INTEROPERABLE, SEM4TRA-AMAR 2019","The RDF star/SPARQL(star) approach extends RDF and SPARQL with means to capture and to query annotations of RDF triples, which is a feature that is natively available in graph databases modeled as Labeled Property Graphs (LPGs). Hence, the approach presents a step towards making the different graph database models interoperable. This paper takes this step further by providing a solid theoretical foundation for converting LPGs into RDF star data and for querying LPGs using the query language SPARQL(star). Regarding the latter, the contributions in this paper consider approaches that materialize the RDF star representation of the LPGs into an RDF star-enabled triplestore as well as approaches in which the queried LPGs may reside in an LPG-specific database system.",exclude,"IC1 is satisfied: the abstract explicitly states a “theoretical foundation for converting LPGs into RDF star data” and for “querying LPGs using … SPARQL(star),” including both (a) materializing an RDF* representation into an RDF*-enabled triplestore and (b) approaches where the LPG remains in an LPG database—this is a concrete RDF↔PG interoperability/conversion and query access contribution.

IC2 is not explicitly satisfied: the provided metadata only indicates “SEM4TRA-AMAR 2019” and does not clearly identify a peer-reviewed full conference/journal publication (no publisher, proceedings details, DOI, page numbers/length, or explicit statement of peer review). Under the Phase 3 rule that any ambiguity or missing evidence requires exclusion, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:35.496645,2.701890230178833
rayyan-662998047,Linked Data for Visualizing and Retrieving RDA Relationships,"This study proposes a theoretical-practical methodology for applying linked data to the visualization and retrieval of relationships defined by RDA (Resource Description and Access), using Pedro P \& aacute;ramo by Juan Rulfo as a case study. It is based on the premise that, although RDA and the IFLA Library Reference Model (LRM) provide a solid conceptual framework for representing bibliographic entities and relationships, their potential remains limited in traditional systems based on linear formats such as MARC21.The methodology is structured in five phases: selection of a corpus of MARC21 records, including editions, translations, and adaptations of the work; transformation of data into RDF using OpenRefine and vocabularies such as the RDA Registry, SKOS, and schema.org; construction of a knowledge graph in Neo4j with typed nodes and relationships; execution of Cypher queries to explore translations, manifestations, thematic links, and adaptations; and evaluation of navigability and semantic retrieval in comparison with traditional catalogs. The results show that the knowledge graph enhances the visualization and analysis of complex relationships, enabling the identification of connections not easily detectable in conventional systems. The explicit semantic representation improves both the precision and completeness of information retrieval. Additionally, the model proves to be replicable across other bibliographic corpora and aligns with Semantic Web principles, supporting interoperability and data reuse. Key challenges include data normalization, technical training, and scalability when handling large volumes of information.",exclude,"IC1 (explicit RDF↔Property Graph method/tool/translation) is NOT clearly satisfied. The abstract describes (1) transforming MARC21 records into RDF using OpenRefine and specific RDF vocabularies, and then (2) constructing a knowledge graph in Neo4j with typed nodes/relationships and querying it with Cypher. However, it does not explicitly state or describe a concrete RDF→Property Graph (Neo4j) conversion/mapping approach (e.g., explicit mapping rules, an algorithm, a translation tool, or a query-translation layer between SPARQL and Cypher). The Neo4j graph construction could be a separate re-modeling step rather than an explicit RDF-to-PG transformation, and no RDF↔PG interoperability mechanism is detailed in the abstract/metadata. Under Phase 3’s high-precision rule, this is insufficient evidence for RDF–PG conversion.

IC2 (primary, peer-reviewed venue) appears satisfied: it is presented as a research study in the journal E-CIENCIAS DE LA INFORMACION. Nonetheless, because IC1 is missing/ambiguous, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:39.537040,4.038859844207764
rayyan-662998082,"A Knowledge Graph Informing Soil Carbon Modeling - WEB ENGINEERING, ICWE 2025","Soil organic carbon is crucial for climate change mitigation and agricultural sustainability. However, understanding its dynamics requires integrating complex, heterogeneous data from multiple sources. This paper introduces the Soil Organic Carbon Knowledge Graph (SOCKG), a semantic infrastructure designed to transform agricultural research data into a queryable knowledge representation. SOCKG features a robust ontological model of agricultural experimental data, enabling precise mapping of datasets from the Agricultural Collaborative Research Outcomes System. It is semantically aligned with the National Agricultural Library Thesaurus for consistent terminology and improved interoperability. The knowledge graph, constructed in GraphDB and Neo4j, provides advanced querying capabilities and RDF access. A user-friendly dashboard allows easy exploration of the knowledge graph and ontology. SOCKG supports advanced analyses, such as comparing soil organic carbon changes across fields and treatments, advancing soil carbon research, and enabling more effective agricultural strategies to mitigate climate change.",exclude,"IC1 (explicit RDF↔Property Graph method/tool/translation): NOT satisfied. The abstract says the knowledge graph is “constructed in GraphDB and Neo4j” and “provides … RDF access,” but it does not explicitly describe any concrete RDF↔Property Graph mapping/conversion approach, schema transformation, synchronization mechanism, or query translation (e.g., SPARQL↔Cypher). The only explicit “mapping” mentioned is mapping source datasets into an ontological model, which is not evidence of RDF-to-PG or PG-to-RDF translation.

IC2 (primary peer-reviewed full paper): NOT explicitly satisfied. While the title references “WEB ENGINEERING, ICWE 2025,” the provided metadata is inconsistent (Year listed as 2026; no journal/venue details beyond the header), and the abstract/metadata do not explicitly state peer-reviewed full-paper status.

Because at least IC1 (and also IC2) lacks explicit support in the abstract/metadata, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:43.374170,3.83610463142395
rayyan-662998083,"Transforming Graph-Oriented Databases into OWL 2 Ontologies - 2024 INTERNATIONAL CONFERENCE ON UBIQUITOUS NETWORKING, UNET 2024","The Semantic Web is an important step in the evolution of the web as a resource sharing platform. It allows for information to be structured in a way that is understandable by computers, and through this to enable the door to a new way of organizing, searching, and using data. In this article, a technique is shown in which a graph database, a Neo4j database, can be converted into an OWL2 ontology or knowledge base. This will provide increased exploitation, semantic interoperability, and reasoning capabilities by incorporating the strengths of both graph databases and ontologies. The process includes systematic steps to identify entities and relationships, define properties, and establish hierarchical structures, along with semi-automated techniques to detect subclasses and sub properties. For validation, a testbed in the form of a small social network database was created that showed that this method could automatically identify sub-classes and sub-properties. The article also reviews the literature and the current developments in data representation and transformation transformations. In general, this technique has a significant impact on data management in enabling new applications to exploit the power of graph-oriented databases and ontologies to scrub data in a more efficient and meaningful way across a spectrum of application domains.",exclude,"IC1 (RDF–Property Graph mapping/conversion): Not satisfied. The abstract explicitly describes converting a Neo4j graph database (property graph) into an OWL 2 ontology/knowledge base (PG → OWL2). It does not explicitly state an RDF serialization/output, an RDF graph mapping, or any concrete transformation/query translation between RDF and property graphs (in either direction). OWL2 is mentioned, but an OWL2 ontology is not explicitly presented as RDF nor as an RDF↔PG conversion.

IC2 (primary peer-reviewed full paper): Not satisfied / ambiguous. The metadata only indicates it is associated with UNET 2024, but provides no explicit evidence that it is a full, peer-reviewed conference paper (vs. short paper/poster/other). With no journal details and no explicit statement of peer-review/full-paper status in the provided metadata/abstract, IC2 cannot be confirmed.

Because at least one required criterion is missing/ambiguous (IC1 and IC2), the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:47.479885,4.1047093868255615
rayyan-662998284,Extended RDF support for Biomedical Knowledge Graphs in pyBioDataFuse: on-the-fly RDF graph generation and new resource annotators,"Integrating high-dimensional omics data with curated knowledge from publicly available databases provides crucial biological context to unlock systems biology analyses and interpret complex biological mechanisms. pyBioDataFuse is an open-source Python package designed to facilitate interoperability and integration complexities in omics workflows by querying for curated knowledge for genes and compounds across several databases, and wrangling the results in a harmonized format used to create of context-specific knowledge graphs (KGs). Moreover, pyBioDataFuse supports graph-based analyses with plugins for Neo4j and Cytoscape. However, there is an ever-growing set of resources that can be plugged into pyBioDataFuse via annotators, and the support of the downstream conversion of the generated property graphs into Resource Description Framework (RDF) graphs has been a pending task. We have addressed these issues by developing new annotators and a BioDataFuse Ontology and RDF module that allow to convert the resulting KGs into an RDF graph. The package supports the automated generation of Shape Expressions (ShEx) and Shapes Constraint Language (SHACL) shape graphs specific to the generated graph to support its validation and documentation. The ontology expands on existing resources to accurately represent the variety of scores, biological entities, processes and functions captured in a BioDataFuse graph. Altogether, we propose pyBioDataFuse as a FAIR tool for knowledge graph development and analysis. © 2025 Copyright for this paper by its authors.",exclude,"IC1 is only weakly supported: the abstract states that an “RDF module” and “BioDataFuse Ontology” allow conversion of generated property-graph-based KGs (Neo4j plugin context) into an RDF graph, and mentions automated generation of ShEx/SHACL shapes for validation. However, it does not explicitly describe a concrete RDF↔PG mapping method (e.g., mapping rules, transformation algorithm, formal procedure, or query translation) beyond the existence of a module; the conversion approach remains unspecified in the provided text.

IC2 is not satisfied: the metadata does not identify a peer-reviewed journal or full conference venue (journal not provided), and the copyright notice (“Copyright for this paper by its authors”) is typical of workshop/CEUR-style proceedings; peer-reviewed full-paper status cannot be confirmed from the abstract/metadata.

Per Phase 3 rules, because IC2 is ambiguous/unsupported (and IC1 lacks explicit methodological detail), the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:52.772985,5.291080951690674
rayyan-662998296,Two for one - Querying property graph databases using SPARQL via gremlinator,"In the past decade Knowledge graphs have become very popular and frequently rely on the Resource Description Framework (RDF) or Property Graphs (PG) as their data models. However, the query languages for these two data models - SPARQL for RDF and the PG traversal language Gremlin - are lacking basic interoperability. In this demonstration paper, we present Gremlinator, the first translator from SPARQL - the W3C standardized language for RDF - to Gremlin - a popular property graph traversal language. Gremlinator translates SPARQL queries to Gremlin path traversals for executing graph pattern matching queries over graph databases. This allows a user, who is well versed in SPARQL, to access and query a wide variety of Graph databases avoiding the steep learning curve for adapting to a new Graph Query Language (GQL). Gremlin is a graph computing system-agnostic traversal language (covering both OLTP graph databases and OLAP graph processors), making it a desirable choice for supporting interoperability for querying Graph databases. Gremlinator is planned to be released as an Apache TinkerPop plugin in the upcoming releases. © 2018 Copyright held by the owner/author(s).",exclude,"IC1 is satisfied: the abstract explicitly presents Gremlinator as a concrete translator from SPARQL (RDF query language) to Gremlin (property graph traversal language), enabling SPARQL-style querying over property graph databases (explicit RDF↔PG interoperability via query translation). IC2 is not satisfied: the metadata/abstract only state it is a ""demonstration paper"" and provide no explicit evidence of publication in a peer-reviewed full conference or journal venue (no journal/conference/workshop name, no proceedings information, no indication it is a full paper vs. demo/short). Under Phase 3 rules, any ambiguity or missing explicit support for IC2 requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:55.464262,2.690272569656372
rayyan-662998301,Transforming RDF to property graph in Hugegraph,"The data form in the graph data is divided into RDF and property graph. RDF appeared earlier, but it is generally larger and the data is more redundant. In the property graph, a graph is defined by properties, nodes and edges. It is easier to set property to the edges, which is more helpful for the description of the graph, so it is of great research significance to transform RDF graph to property graph. However, because the structure of RDF and property graph are naturally different, transforming RDF to property graph needs to solve the distinction of nodes and properties while ensuring the uniqueness of the nodes, supporting multiple labels and empty labels in a single-label graph database and other difficulties. In this paper, through analyzing a variety of serialized data, we proposed a specific mapping mechanism to solve the first issue. Through the method of storing the label information of the node with additional fields, we have successfully solved the second issue. Finally, through experimental verification of a specific dataset, we found that the converted data volume was reduced by about 10% to 20%, and it can successfully complete the query requirements in different scenarios. © 2020 ACM.",exclude,"IC1 is satisfied: the abstract explicitly proposes a concrete “mapping mechanism” to transform RDF to a property graph in HugeGraph and reports experimental verification and query completion after conversion (direct RDF -> PG mapping and evaluation are described).

IC2 is NOT explicitly satisfied: the provided metadata does not name a journal/conference venue, does not state that it is a full paper, and “© 2020 ACM” alone is insufficient to confirm peer-reviewed full conference/journal publication (it could also correspond to non-archival, adjunct, or short/workshop formats). Under Phase 3 rules requiring explicit evidence from abstract/metadata, this ambiguity means the study cannot be included.

Final decision: exclude because not all inclusion criteria are clearly and explicitly supported (IC2 missing/ambiguous).",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:53:58.459948,2.993692398071289
rayyan-662998337,Flexible RML-Based Mapping of Property Graphs to RDF,"RDF graphs and (Labeled) Property Graphs (PGs) have emerged as data models for representing graph databases. Given the differences between the two models, ensuring interoperability between them has become essential, to leverage the strengths of both models. Various approaches have been proposed to map PGs to RDF graphs. However, these approaches differ in terms of structure, representation, size of the generated RDF graph, and degree of configuration provided to the user, making direct comparisons challenging. While declarative methods prevailed to construct RDF graphs from other data formats, the mapping languages proposed for such transformations have not been considered so far for mapping PGs to RDF graphs. In this work, we provide a representation of PG-to-RDF approaches through templates described using RML, a mapping language to construct RDF graphs from heterogeneous data. We show that all considered PG-to-RDF approaches can be represented in RML and, by having a uniform representation of them, we can compare them showcasing their differences. Finally, we show that not only can RML be used to capture PG-to-RDF mappings, but it actually offers more expressive power than the considered PG-to-RDF approaches. Copyright © 2025 for this paper by its authors.",exclude,"IC1 (RDF↔PG method/tool/translation) is satisfied: the abstract explicitly presents a concrete PG→RDF mapping approach by representing existing PG-to-RDF approaches as RML templates, enabling comparison and claiming increased expressiveness of RML for PG-to-RDF mappings.

IC2 (primary research paper in a peer-reviewed full conference/journal venue) is NOT explicitly supported: the metadata provides no journal/conference/workshop venue, no indication of peer review, and only includes a generic copyright notice (“Copyright © 2025 for this paper by its authors.”). Because peer-reviewed publication status and full-paper venue are ambiguous and not explicitly stated, the paper fails IC2 under the Phase 3 rule requiring explicit evidence.

Therefore, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-09-14T17:54:02.886063,4.4251203536987305
