bibtex_id,title,abstract,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,"Technologies to treat wastewater in decentralized systems are critical for sustainable development. Bioreactors are suitable for low-energy removal of inorganic and organic compounds, particularly for non-potable applications where a small footprint is required. One of the main problems associated with bioreactor use is sporadic spikes of chemical toxins, including nanoparticles. Here, we describe the development of DIYBOT (Digital Proxy of a Bio-Reactor), which enables remote monitoring of bioreactors and uses the data to inform decisions related to systems management. To test DIYBOT, a household-scale membrane aerated bioreactor with real-time water quality sensors was used to treat household greywater simulant. After reaching steady-state, silver nanoparticles (AgNP) representative of the mixture found in laundry wastewater were injected into the system to represent a chemical contamination. Measurements of carbon metabolism, effluent water quality, biofilm sloughing rate, and microbial diversity were characterized after nanoparticle exposure. Real-time sensor data were analyzed to reconstruct phase-space dynamics and extrapolate a phenomenological digital proxy to evaluate system performance. The management implication of the stable-focus dynamics, reconstructed from observed data, is that the bioreactor self-corrects in response to contamination spikes at AgNP levels below 2.0 mg/L. DIYBOT may help reduce the frequency of human-in-the-loop corrective management actions for wastewater processing.",exclude,"IC1 not met: the abstract centers on a “Digital Proxy” (DIYBOT) and never explicitly frames it as a Digital Twin. IC2 not met: there is no explicit mention of explainability/interpretability/transparency/XAI mechanisms. IC3 only weakly referenced: it mentions reducing “human-in-the-loop corrective management actions,” but does not explicitly define human roles or describe an HITL/HOTL interaction mechanism as part of the system design. With required criteria missing, it cannot be included in Phase 2.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:07.080159,2.8627982139587402
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings","Experts predict that future robot applications will require safe and predictable operation: robots will need to be able to explain what they are doing to be trusted. To reach this goal, they will need to perceive their environment and its object to better understand the world and the tasks they have to perform. This article gives an overview of present advances with the focus on options to learn, detect, and grasp objects. With the approach of colour and depth (RGB-D) cameras and the advances in AI and deep learning methods, robot vision has been pushed considerably over the last years. We summarise recent results for pose estimation of objects and work on verifying object poses using a digital twin and physics simulation. The idea is that any hypothesis from an object detector and pose estimator is verified leveraging on the continuous advances in deep learning approaches to create object hypotheses. We then show that the object poses are robust enough such that a mobile manipulator can approach the object and grasp it. We intend to indicate that it is now feasible to model, recognise and grasp many objects with good performance, though further work is needed for applications in industrial settings.",exclude,"IC1 not met: the abstract only mentions “verifying object poses using a digital twin and physics simulation” as part of an overview of advances; it does not present a digital twin as a central architecture/system/framework. IC2 not met: while it states robots “need to be able to explain what they are doing to be trusted,” the abstract does not propose/implement/evaluate any explainability/XAI mechanism, nor tie explainability explicitly to the digital twin approach. IC3 not met: there is no explicit definition of human roles or human-in/on-the-loop interaction mechanisms in the described system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:09.972495,2.890303373336792
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis","The digital transformation of manufacturing requires digitalization, including automatic and efficient data exchange. Model-based definitions (MBDs) capture digital product definitions, in order to eliminate error-prone information exchange associated with traditional paper-based drawings and to provide contextual information through additional metadata. The flow of MBDs extends throughout the product lifecycle (including the design, analysis, manufacturing, in service life, and retirement stages) and can be extended beyond the typical geometry and tolerance information within a computer-aided design. In this paper, the MBDs are extended to include materials information, via dynamic linkages. To this end, a model-based feature information network (MFIN) is created to provide a comprehensive framework that facilitates storing, updating, searching, and retrieving of relevant information across a product’s lifecycle. The use case of a damage tolerant analysis for a compressor bladed-disk (blisk) is demonstrated, in Ti-6Al-4V blade(s) linear friction welded to the Ti-6Al-4V disk, creating well-defined regions exhibiting grain refinement and high residuals stresses. By capturing the location-specific microstructure and residual stress values at the weld regions, this information is accessed within the MFIN and used for downstream damage tolerant analysis. The introduction of the MFIN framework facilitates access to dynamically evolving data for use within physics-based models (resulting in the opportunity to reduce uncertainty in subsequent prognosis analyses), thereby enabling a digital twin description of the component or system.",exclude,"IC1 is only weakly supported: the abstract states MFIN “enabl[es] a digital twin description,” but the central contribution is an MBD/MFIN data-integration framework rather than an explicitly Digital-Twin-centered architecture. IC2 is not satisfied: there is no explicit mention of explainability/interpretability/transparency/XAI mechanisms in any digital twin context. IC3 is not satisfied: no human roles (operator/decision-maker) or human-in/on-the-loop interactions are defined. This matches EC2 (focus on physics-based models/data for analysis without any explainability or human-related aspects).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:13.460279,3.4857559204101562
rayyan-471934075,An Agent-Based Digital Twin for Exploring Localized Non-pharmaceutical Interventions to Control COVID-19 Pandemic,"The COVID-19 epidemic created, at the time of writing the paper, highly unusual and uncertain socio-economic conditions. The world economy was severely impacted and business-as-usual activities severely disrupted. The situation presented the necessity to make a trade-off between individual health and safety on one hand and socio-economic progress on the other. Based on the current understanding of the epidemiological characteristics of COVID-19, a broad set of control measures has emerged along dimensions such as restricting people’s movements, high-volume testing, contract tracing, use of face masks, and enforcement of social-distancing. However, these interventions have their own limitations and varying level of efficacy depending on factors such as the population density and the socio-economic characteristics of the area. To help tailor the intervention, we develop a configurable, fine-grained agent-based simulation model that serves as a virtual representation, i.e., a digital twin of a diverse and heterogeneous area such as a city. In this paper, to illustrate our techniques, we focus our attention on the Indian city of Pune in the western state of Maharashtra. We use the digital twin to simulate various what-if scenarios of interest to (1) predict the spread of the virus; (2) understand the effectiveness of candidate interventions; and (3) predict the consequences of introduction of interventions possibly leading to trade-offs between public health, citizen comfort, and economy. Our model is configured for the specific city of interest and used as an in-silico experimentation aid to predict the trajectory of active infections, mortality rate, load on hospital, and quarantine facility centers for the candidate interventions. The key contributions of this paper are: (1) a novel agent-based model that seamlessly captures people, place, and movement characteristics of the city, COVID-19 virus characteristics, and primitive set of candidate interventions, and (2) a simulation-driven approach to determine the exact intervention that needs to be applied under a given set of circumstances. Although the analysis presented in the paper is highly specific to COVID-19, our tools are generic enough to serve as a template for modeling the impact of future pandemics and formulating bespoke intervention strategies.",exclude,"IC1 is satisfied: the work develops a “configurable, fine-grained agent-based simulation model” explicitly described as “a digital twin” of a city and uses it to run intervention what-if scenarios. However, IC2 is not satisfied: the abstract contains no explicit mention of explainability/interpretability/transparency/XAI mechanisms within the digital twin. IC3 is also not satisfied: while the twin is used to explore trade-offs and to “determine the exact intervention,” the abstract does not explicitly define human roles (e.g., operator/decision-maker) nor describe any human-in-the-loop/on-the-loop or human-centered interaction mechanism as part of the system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:16.778902,3.3186235427856445
rayyan-471934087,Cyber-Physical Loops as Drivers of Value Creation in NDE 4.0,"Across so many industries, non-destructive evaluation has proven its worth time and again through quality and safety assurance of valuable assets. Yet, over time, it became underappreciated in business decisions. In most cases, the data gathered by NDT is used for quality assurance assessments resulting in binary decisions. And we seem to miss out on value of the information content of NDE which goes way deeper and can help other stakeholders: such as engineering, management, inspectors, service providers, and even regulators. Some of those groups might not even be aware of the benefits of NDE data and its digitalization. Unfortunately, the NDE industry typically makes the data access unnecessarily difficult by proprietary interfaces and data formats. Both those challenges need to be addressed now by the NDE industry. The confluence of NDE and Industry 4.0, dubbed as NDE 4.0, provides a unique opportunity for the NDE/NDT Industry to not only readjust the value perception but to gain new customer groups through a broad set of value creation activities across the ecosystem. The integration of NDE into the Cyber-Physical Loop (including IIoT and Digital Twin) is the chance for the NDE industry to now shift the perception from a cost center to a value center. This paper provides an overview of the NDE ecosystem, key value streams, cyber-physical loops that create value, and a number of use cases for various stakeholders in the ecosystem.",exclude,"IC1 not met: the abstract only mentions Digital Twin as part of a broader “Cyber-Physical Loop (including IIoT and Digital Twin)” and frames the paper as an overview of the NDE ecosystem and value streams, not a Digital-Twin-centered architecture/framework. IC2 not met: there is no explicit discussion of explainability/interpretability/transparency/XAI in any Digital Twin context. IC3 not met: while stakeholders are listed (e.g., engineering, management, inspectors, regulators), the abstract does not explicitly define human roles within a system nor describe human-in-the-loop/on-the-loop interaction mechanisms. Therefore the article fails the strict Phase 2 inclusion requirements.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:22.429577,5.64865255355835
rayyan-471934096,Corporate digital responsibility (CDR) in construction engineering—ethical guidelines for the application of digital transformation and artificial intelligence (AI) in user practice,"Digitization is developing fast and has become a powerful tool for digital planning, construction and operations, for instance digital twins. Now is the right time for constructive approaches and to apply ethics-by-design in order to develop and implement a safe and efficient artificial intelligence (AI) application. So far, no study has addressed the key research question: Where can corporate digital responsibility (CDR) be allocated, and how shall an adequate ethical framework be designed to support digital innovations in order to make full use of the potentials of digitization and AI? Therefore, the research on how best practices meet their corporate responsibility in the digital transformation process and the requirements of the EU for trustworthy AI and its human-friendly use is essential. Its transformation bears a high potential for companies, is critical for success and thus, requires responsible handling. This study generates data by conducting case studies and interviewing experts as part of the qualitative method to win profound insights into applied practice. It provides an assessment of demands stated in the Sustainable Development Goals by the United Nations (SDGs), White Papers on AI by international institutions, European Commission and German Government requesting the consideration and protection of values and fundamental rights, the careful demarcation between machine (artificial) and human intelligence and the careful use of such technologies. The study discusses digitization and the impacts of AI in construction engineering from an ethical perspective. This research critically evaluates opportunities and risks concerning CDR in construction industry. To the author’s knowledge, no study has set out to investigate how CDR in construction could be conceptualized, especially in relation to digitization and AI, to mitigate digital transformation both in large, medium- and small-sized companies. This study applies a holistic, interdisciplinary, inclusive approach to provide guidelines for orientation and examine benefits as well as risks of AI. Furthermore, the goal is to define ethical principles which are key for success, resource-cost-time efficiency and sustainability using digital technologies and AI in construction engineering to enhance digital transformation. This study concludes that innovative corporate organizations starting new business models are more likely to succeed than those dominated by a more conservative, traditional attitude.",exclude,"IC1 not met: digital twins are mentioned only as an example of digitization (“for instance digital twins”) and are not a central concept of the proposed guidelines/framework. IC2 not met: the abstract discusses ethics, trustworthy/human-friendly AI, and corporate digital responsibility, but does not explicitly propose or discuss explainability/interpretability/transparency/XAI mechanisms within a Digital Twin context. IC3 not met: while it mentions demarcation between machine and human intelligence and human-friendly AI, it does not explicitly define human roles or describe human-in/on-the-loop interaction mechanisms as part of a system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:25.028626,2.5970165729522705
rayyan-471934097,Process-oriented unstable state monitoring and strategy recommendation for burr suppression of weak rigid drilling system driven by digital twin,"Robots have been widely used in machining due to their excellent expansibility and high flexibility. However, the robot is a weak rigid system, and its machining process is unstable. So, it is easy to produce burr due to chatter. A burr suppression pattern of the weak rigid drilling system driven by the digital twin is proposed to solve the above problem, including unstable state monitoring and strategy recommendation. The machining state is mapped in the information space through the hidden Markov model in the digital twin system. The quality of each machining feature can be tracked based on the model evolution rules. Based on the machining state mapping and quality tracking process, the machining state monitoring is realized. The drilling strategy storeroom is built based on the genetic algorithm, and the abnormal monitoring information is used to search for the optimal strategy. Then, the feedback strategies are recommended for improving the machining quality. Finally, the effectiveness of the proposed method is verified by a case of weak rigid drilling.",exclude,"IC1 is satisfied: the digital twin is central (state mapping, monitoring, strategy recommendation driven by a digital twin). However, IC2 is not satisfied: the abstract does not explicitly mention or discuss explainability/interpretability/transparency/XAI mechanisms—only HMM/GA-based monitoring and optimization. IC3 is also not satisfied: no explicit human roles (operator/decision-maker) or human-in/on-the-loop interaction are described; recommendations are generated but not tied to human involvement. Therefore, it meets exclusion condition EC2 (DT-focused monitoring/optimization without any explicit explainability or human-related aspects).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:27.912353,2.8827054500579834
rayyan-471934098,Product design lifecycle information model (PDLIM),"In response to rapidly changing market and customer needs, product design and development (PDD) is evolving into a human-centred and data-driven design paradigm. The design environment gets more open often involving crowdsourcing and the design process becomes more complex, considering product family design along product whole lifecycle development, and needing more data support. Therefore, it is critical to effectively capture, share, and manage design-related information in such a complex design environment. From this perspective, it is a prerequisite to have a proper product design lifecycle information model (PDLIM) to guide information gathering, sharing and management. To the best of our knowledge, currently, there lacks such a PDLIM to support effective PDD, though digital twin (DT) technology shows a great potential of supporting product lifecycle information collection and management. In this paper, the overall structure of the proposed PDLIM is firstly developed to frame in all main product lifecycle stages and the corresponding key phases for structurally capturing and storing necessary data along a product lifecycle. Secondly, key design information items against the main product lifecycle stages and their corresponding key phases are explored from literature reviews and case study analyses. Thirdly, the necessity of the identified information items in the PDLIM is qualitatively evaluated by two case studies. Finally, the PDLIM is further evaluated by applying formal object-role modelling (ORM) to demonstrate how design information items are used and interacted in exemplary design interaction scenarios, and to approve that it can be formally described and managed as an information model. The evaluation results show that the PDLIM is feasible to be adapted in a crowdsourcing-combined PDD process for supporting design management, reviewing, quality control, and next round product redesign and improvement.",exclude,"IC1 not met: the central contribution is a Product Design Lifecycle Information Model (PDLIM); digital twin is only mentioned as having “great potential” to support lifecycle information collection/management, not as a core DT-based architecture/framework. IC2 not met: the abstract contains no explicit discussion or mechanism for explainability/interpretability/transparency/XAI in any digital twin context. IC3 not met: while it mentions “human-centred” design and “design interaction scenarios,” it does not explicitly define human roles (e.g., operator/decision-maker) or describe human-in-the-loop/on-the-loop interaction mechanisms as part of a DT system.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:31.114639,3.200261354446411
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,"This paper presents contributions of the ANR McBIM (Communicating Material for BIM) project regarding Digital Building Twins, specifically how Semantic Web technologies allow providing explainable decision-support. Following an introduction stating our understanding of a Digital Building Twin (DBT), namely a lively representation of a buildings' status and environment, we identify five main research domains following the study of main research issues related to DBT. We then present the state-of-the-art and existing standards for digitizing the construction process, Semantic Web technologies, and wireless sensor networks. We further position the main contributions made so far in the ANR McBIM project's context according to this analysis, e.g., sensor placement in the communicating material and explainable decision-support.",maybe,"IC1 is explicitly met: the paper is about “Digital Building Twins” and provides their definition and project contributions in that context. IC2 is explicitly met: it states Semantic Web technologies “allow providing explainable decision-support” and reiterates “explainable decision-support” as a contribution. IC3 is not explicitly met: the abstract does not define any human roles (e.g., operator/decision-maker) nor explicitly describe human-in-the-loop/on-the-loop or human-centered interaction mechanisms; “decision-support” alone does not explicitly specify human involvement. Therefore, it cannot be included under strict Phase 2 criteria.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:34.409891,3.295252561569214
rayyan-471934104,Pipeline for ontology-based modeling and automated deployment of digital twins for planning and control of manufacturing systems,"The demand for individualized products drives modern manufacturing systems towards greater adaptability and flexibility. This increases the focus on data-driven digital twins enabling swift adaptations. Within the framework of cyber-physical systems, the digital twin is a digital model that is fully connected to the physical and digital assets. A digital model must follow a standardization for interoperable data exchange. Established ontologies and meta-models offer a basis in the definition of a schema, which is the first phase of creating a digital twin. The next phase is the standardized and structured modeling with static use-case specific data. The final phase is the deployment of digital twins into operation with a full connection of the digital model with the remaining cyber-physical system. In this deployment phase communication standards and protocols provide a standardized data exchange. A survey on the state-of-the-art of these three digital twin phases reveals the lack of a consistent workflow from ontology-driven definition to standardized modeling. Therefore, one goal of this paper is the design of an end-to-end digital twin pipeline to lower the threshold of creating and deploying digital twins. As the task of establishing a communication connection is highly repetitive, an automation concept by providing structured protocol data is the second goal. The planning and control of a line-less assembly system with manual stations and a mobile robot as resources and an industrial dog as the product serve as exemplary digital twin applications. Along this use-case the digital twin pipeline is transparently explained.",exclude,"IC1 is satisfied: the paper’s main contribution is an end-to-end “digital twin pipeline” for ontology-based modeling and automated deployment in manufacturing. However, IC2 is not explicitly satisfied: the abstract does not propose or evaluate any explainability/interpretability/XAI mechanism; the phrase “transparently explained” refers to how the pipeline is presented, not to transparency of model decisions or XAI within the Digital Twin. IC3 is also not explicitly satisfied: while the use case mentions “manual stations,” it does not define human roles (e.g., operator/decision-maker) or describe any human-in-the-loop/on-the-loop interaction mechanism as part of the system. Therefore, it must be excluded under the strict Phase 2 rules.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-04-07T11:33:37.839636,3.4297449588775635
