bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934058,Multiscale Modeling Meets Machine Learning: What Can We Learn?,não entra,Artigo de revisão sobre ML e modelagem multiescala em biomedicina; não aborda Digital Twins nem XAI em DT. Falha IC1–IC4 e atende EC1 e EC3.,gpt-5-petrobras,1.0,2026-03-02T11:58:54.062664,6.547145000000000
rayyan-471934059,"Core, intertwined, and ecosystem-specific clusters in platform ecosystems: analyzing similarities in the digital transformation of the automotive, blockchain, financial, insurance and IIoT industry",não entra,"O artigo aborda ecossistemas de plataforma e transformação digital, sem tratar de Digital Twins. Não discute explicabilidade, interação humana ou arquitetura de DT (EC1/EC2).",gpt-5-petrobras,1.0,2026-03-02T11:59:07.200400,13.134250000000000
rayyan-471934060,Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,não entra,Não aborda Digital Twins nem mecanismos de explicabilidade; trata de CPS/PDS com HIL sem XAI ou interação humana explícita.,gpt-5-petrobras,1.0,2026-03-02T11:59:10.769461,3.5658970000000001
rayyan-471934061,Semantics for linking data from 4D BIM to digital collaborative support,não entra,"O artigo foca em ontologia e colaboração no contexto de 4D BIM, sem tratar Digital Twin como conceito central nem discutir explicabilidade/XAI; portanto, falha em IC1 e IC2 (EC1/EC2).",gpt-5-petrobras,1.0,2026-03-02T11:59:17.199826,6.380096000000000
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,não entra,"Focado em um 'digital proxy' para bioreator, sem abordar explicitamente Digital Twin; não discute XAI/explicabilidade, papéis humanos definidos ou design de interação/explicação. Não atende IC2-IC4 e se enquadra em EC2.",gpt-5-petrobras,1.0,2026-03-02T11:59:31.815859,14.614027999999999
rayyan-471934063,"Framework for developing alternative reality environments to engineer large, complex systems",não entra,"Artigo foca em XR/taxonomia sensorial, não em Digital Twins. Não discute XAI no contexto de DT. EC1 e EC2 aplicam.",gpt-5-petrobras,1.0,2026-03-02T11:59:36.371511,4.552617000000000
rayyan-471934064,What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,não entra,"Estudo secundário (revisão sistemática) sobre Construction 4.0, sem foco central em Digital Twins ou XAI; excluído por EC3 e EC1.",gpt-5-petrobras,1.0,2026-03-02T11:59:40.580272,4.205715000000000
rayyan-471934065,Opportunities in intelligent modeling assistance,não entra,Artigo não é sobre Digital Twins (EC1); discute assistência de modelagem geral (RF-IMA) sem tratar de XAI/explicabilidade ou interação humana no contexto de DT.,gpt-5-petrobras,1.0,2026-03-02T11:59:46.025094,5.443804000000000
rayyan-471934066,Moral control and ownership in AI systems,não entra,"Texto aborda ética e controle em IA geral, sem foco em Digital Twins. Não propõe nem avalia XAI no contexto de DT. Atende EC1/EC2.",gpt-5-petrobras,1.0,2026-03-02T11:59:50.655863,4.618608000000000
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",não entra,"Digital Twin não é central; o artigo é um panorama sobre detecção/pose/grasp. Não há XAI, papéis humanos ou design de explicação no contexto de DT; possivelmente estudo secundário (EC2/EC3).",gpt-5-petrobras,1.0,2026-03-02T11:59:59.410651,8.751737000000000
rayyan-471934068,Simple machine learning allied with data-driven methods for monitoring tool wear in machining processes,não entra,"Não aborda Digital Twin; foca em predição de desgaste com ML sem discutir explicabilidade, transparência, papéis humanos ou interação no contexto de Digital Twin.",gpt-5-petrobras,1.0,2026-03-02T12:00:04.183497,4.769811000000000
rayyan-471934069,Using large-scale augmented floor surfaces for industrial applications and evaluation on perceived sizes,não entra,"Artigo não é sobre Digital Twins (EC1); avalia displays de piso e percepção de tamanho, sem DT, XAI ou interação humana em DT (IC1–IC4 não atendidos).",gpt-5-petrobras,1.0,2026-03-02T12:00:08.357719,4.171179000000000
rayyan-471934071,Field-synchronized Digital Twin framework for production scheduling with uncertainty,não entra,"Embora o DT seja central, o artigo aplica modelos preditivos (EPHM/GA/simulação) para agendamento sem propor, avaliar ou discutir explicabilidade/interpretabilidade nem papéis humanos; enquadra-se em EC2.",gpt-5-petrobras,1.0,2026-03-02T12:00:41.311296,11.770263999999999
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis",entra,Atende IC1 e IC4: Digital Twin é central e o artigo propõe e descreve a arquitetura MFIN como framework de DT para integrar dados ao longo do ciclo de vida. Publicação revisada por pares em inglês e não se enquadra nos ECs.,gpt-5-petrobras,1.0,2026-03-02T12:01:08.943309,27.628952000000002
rayyan-471934073,Pitfalls and protocols of data science in manufacturing practice,não entra,"Não aborda Digital Twins; propõe framework de ciência de dados em manufatura sem discutir DT, XAI, papéis humanos ou explicabilidade.",gpt-5-petrobras,1.0,2026-03-02T12:01:14.274100,5.3277510000000001
rayyan-471934074,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer’s disease,não entra,O artigo não trata de Digital Twins; aborda XAI para diagnóstico de Alzheimer (RF/SHAP) sem contexto de DT. Não atende IC1–IC4 e aplica-se EC1.,gpt-5-petrobras,1.0,2026-03-02T12:01:18.308013,4.023800000000000
rayyan-471934075,An Agent-Based Digital Twin for Exploring Localized Non-pharmaceutical Interventions to Control COVID-19 Pandemic,não entra,"Digital Twin é central (IC1), porém o trabalho apenas usa simulação/predição de cenários sem propor, avaliar ou discutir explicabilidade, interpretabilidade ou interação humana no DT (não cumpre IC2–IC4). Entra em EC2.",gpt-5-petrobras,1.0,2026-03-02T12:01:25.217921,6.906869000000000
rayyan-471934076,"Artificial intelligence, cyber-threats and Industry 4.0: challenges and opportunities",não entra,"Artigo é um survey sobre AI/segurança em Indústria 4.0; não tem Digital Twin como foco central e, por ser estudo secundário, cai em EC3 (também EC1).",gpt-5-petrobras,1.0,2026-03-02T12:01:32.099567,6.879623000000000
rayyan-471934077,Molecular function recognition by supervised projection pursuit machine learning,não entra,"Embora mencione “digital twin” em simulações MD, o foco é um método de ML. Não há arquitetura de DT central, nem discussão formal de explicabilidade/XAI no contexto de DT, nem papéis humanos. Enquadra-se em EC2.",gpt-5-petrobras,1.0,2026-03-02T12:01:42.535690,10.43308400000000
rayyan-471934078,“Chatty Devices” and edge-based activity classification,não entra,"O artigo não trata de Digital Twins como conceito central e não aborda XAI, papéis humanos ou explicação no contexto de DT; foco em edge analytics e federated learning para classificação de uso.",gpt-5-petrobras,1.0,2026-03-02T12:01:48.311155,5.774452000000000
rayyan-471934079,Engineering ethical behaviors in autonomous industrial cyber-physical human systems,não entra,"O artigo não aborda Digital Twins como conceito central; trata de controladores éticos em sistemas ciberfísicos autônomos. Não discute explicabilidade/XAI no contexto de Digital Twins, atendendo EC1 e não cumprindo IC1–IC4.",gpt-5-petrobras,1.0,2026-03-02T12:01:53.200257,4.888083000000000
rayyan-471934080,Tool wear monitoring in roughing and finishing processes based on machine internal data,não entra,"Não trata Digital Twin como conceito central; foca em monitoramento/predição de desgaste sem discutir XAI, explicabilidade ou mecanismos de interação humana em DT.",gpt-5-petrobras,1.0,2026-03-02T12:01:58.550120,5.3478760000000003
rayyan-471934081,Artificial intelligence in product lifecycle management,não entra,"Artigo de revisão sobre IA em PLM, sem DT como foco central nem XAI/HITL; trata-se de estudo secundário (EC3) e não atende IC1–IC4.",gpt-5-petrobras,1.0,2026-03-02T12:02:04.541824,5.988097000000000
rayyan-471934082,Execution of Knowledge-Intensive Processes by Utilizing Ontology-Based Reasoning,não entra,"Artigo não aborda Digital Twins; foca em KiPs e raciocínio ontológico, sem DT nem XAI no contexto de DT (EC1/EC2).",gpt-5-petrobras,1.0,2026-03-02T12:02:11.170837,6.623754000000000
rayyan-471934083,Toward automated regulatory compliance,não entra,"Foca em compliance automatizado e infraestrutura AI/model-driven, sem relação explícita com Digital Twins; não discute XAI/explicabilidade no contexto de DT. Atende EC1.",gpt-5-petrobras,1.0,2026-03-02T12:02:16.960609,5.786755000000000
rayyan-471934084,A panoramic view and swot analysis of artificial intelligence for achieving the sustainable development goals by 2030: progress and prospects,não entra,"Artigo é revisão sobre AI e ODS, sem foco em Digital Twin (EC1) e é estudo secundário (EC3).",gpt-5-petrobras,1.0,2026-03-02T12:02:21.313105,4.3495030000000
rayyan-471934085,A control architecture for continuous production processes based on industry 4.0: water supply systems application,não entra,O artigo não menciona nem usa Digital Twin como conceito central (EC1) e não aborda explicabilidade/XAI (EC2); logo não atende IC1–IC4.,gpt-5-petrobras,1.0,2026-03-02T12:02:27.573197,6.257983000000000
