bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934058,Multiscale Modeling Meets Machine Learning: What Can We Learn?,exclude,The abstract is a review about machine learning and multiscale modeling in biomedical sciences and does not mention Digital Twins or any Digital Twin architecture/framework. Therefore it clearly violates IC1 (Digital Twins relevance) and meets EC1 (unrelated to Digital Twins); it is also a review article (EC3).,gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:42:50.711349,34.94383478164673
rayyan-471934059,"Core, intertwined, and ecosystem-specific clusters in platform ecosystems: analyzing similarities in the digital transformation of the automotive, blockchain, financial, insurance and IIoT industry",exclude,"The title and abstract discuss digital transformation and platform ecosystem clustering across industries, with no mention of Digital Twins or any explainability/transparency/human-interaction aspects in a Digital Twin context (violates IC1; clear EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:42:52.314357,1.592984676361084
rayyan-471934060,Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,exclude,"The abstract discusses cyber-physical manufacturing systems, distributed/product-driven control, multi-agent implementation, RFID, and hardware-in-the-loop simulation, but does not mention Digital Twins or any explainability/interpretability/transparency or human-interaction aspects in a Digital Twin context (violates IC1; clear EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:42:54.149855,1.833479881286621
rayyan-471934061,Semantics for linking data from 4D BIM to digital collaborative support,exclude,"The article focuses on 4D BIM collaboration semantics/ontology and socio-technical aspects in construction meetings, but it does not mention Digital Twins or frame the work as a Digital Twin architecture/concept (violates IC1; meets EC1 as clearly unrelated to Digital Twins based on title/abstract).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:42:55.984381,1.831472396850586
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,maybe,"The work presents a “Digital Proxy” for a bioreactor that combines real-time sensor data and analytics for remote monitoring and management decisions, which is conceptually close to a Digital Twin but does not explicitly use the term. It also mentions human-in-the-loop management actions (interaction/decision support), satisfying the human-centered aspect. However, there is no clear mention of explainability/interpretability/XAI, and DT relevance is implicit rather than explicit, so it is potentially relevant but unclear.",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:42:58.493500,2.50612735748291
rayyan-471934063,"Framework for developing alternative reality environments to engineer large, complex systems",exclude,"The abstract focuses on an XR (alternative reality) framework and human sensory experience for engineering/design evaluation, with no mention of Digital Twins or twin-based architectures. It is therefore clearly unrelated to Digital Twins (EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:00.067289,1.5717933177947998
rayyan-471934064,What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,exclude,"This is a systematic literature review/mapping of Construction 4.0 themes and enabling technologies (BIM, IoT, 3D printing, Big Data, CPS) and does not discuss Digital Twins or explainability/human-interaction aspects in the context of Digital Twins. It is also a secondary study (systematic review), which is excluded by EC3.",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:01.937865,1.8669641017913818
rayyan-471934065,Opportunities in intelligent modeling assistance,exclude,"The abstract focuses on intelligent modeling assistance and a reference framework for modeling tools in software engineering, with no mention of Digital Twins or any Digital Twin-related architecture/framework. It therefore clearly violates EC1 (unrelated to Digital Twins).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:03.720378,1.7805142402648926
rayyan-471934066,Moral control and ownership in AI systems,exclude,"The title and abstract discuss moral agency, control, traceability, and ethics in general AI systems, but do not mention Digital Twins or relate these concepts to Digital Twin architectures or human interaction in Digital Twins. This is clearly unrelated to Digital Twins (EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:05.943726,2.2207298278808594
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",maybe,"The abstract explicitly mentions using a “digital twin” and physics simulation to verify object poses, indicating Digital Twin relevance (IC1). It also discusses robots needing to explain actions to be trusted, which relates to explainability/human trust aspects, but this connection is not clearly framed within the Digital Twin context (IC2 unclear). Given potential relevance and high-recall screening, retain as maybe.",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:09.265522,3.318802833557129
rayyan-471934068,Simple machine learning allied with data-driven methods for monitoring tool wear in machining processes,exclude,The abstract focuses on machine learning/data-driven methods for tool wear monitoring in machining (Industry 4.0 context) but does not mention Digital Twins or any explainability/interpretability/transparency or human-interaction aspects in relation to a Digital Twin. This fits EC1 (unrelated to Digital Twins).,gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:11.349811,2.082294464111328
rayyan-471934069,Using large-scale augmented floor surfaces for industrial applications and evaluation on perceived sizes,exclude,"The title and abstract discuss large-scale augmented floor displays and human size perception in automotive production planning, with no mention of Digital Twins or related DT architectures/frameworks. Although it involves human interaction/visualization, it is clearly unrelated to Digital Twins (EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:13.469975,2.1171634197235107
rayyan-471934070,Real-time discrete event simulation: a framework for an intelligent expert system approach utilising decision trees,exclude,"The article focuses on real-time discrete event simulation and decision-tree-based meta-models for manufacturing optimisation and stakeholder understanding, but it does not mention Digital Twins or position the work within a Digital Twin architecture/framework (fails IC1). While it touches on interpretability via regression trees, this is not in the context of Digital Twins, so it is clearly unrelated to Digital Twins (EC1).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:15.509893,2.0333778858184814
rayyan-471934071,Field-synchronized Digital Twin framework for production scheduling with uncertainty,exclude,"Digital Twin is used for field-synchronized production scheduling under uncertainty, but the abstract focuses on optimization/simulation (genetic algorithms, discrete-event simulation, failure probability prediction) without any mention of explainability, interpretability, transparency, XAI, or human interaction aspects; thus it matches EC2.",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:17.009990,1.4980976581573486
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis",maybe,"The paper proposes a Digital Twin framework (MFIN) for manufacturing/component lifecycle data integration, satisfying the Digital Twin relevance criterion (IC1). However, the abstract does not clearly mention explainability/interpretability/transparency or human-centered interaction aspects; it appears focused on data exchange and physics-based analysis/prognosis. Because such aspects could be present in the full text (e.g., user access, retrieval, decision support), it should not be excluded at Phase 1.",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:19.550156,2.5372352600097656
rayyan-471934073,Pitfalls and protocols of data science in manufacturing practice,exclude,"The title and abstract focus on data science/analytics pitfalls and a five-phase analytics framework for manufacturing practice, without mentioning Digital Twins or any twin-based architecture. It therefore clearly violates EC1 (unrelated to Digital Twins).",gpt-5-2-petrobras,PromptBuilderPhase1,2026-03-18T15:43:21.705051,2.152898073196411
