bibtex_id,title,abstract,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-662997968,PG-explorer: Resource Description Framework data exploration with property graphs,"The Resource Description Framework (RDF) has been widely applied to represent and exchange domain infor-mation because of its machine-readable characteristic. With a huge amount of RDF data available, retrieving RDF data is essential, so that many RDF query approaches have been developed. But many traditional approaches generally require users to know RDF model and query language, and this seriously prevents a large number of common non-expert users from obtaining information in RDF datasets. In this paper, we propose an approach that users can explore massive RDF datasets by interactively manipulating property graphs. Our approach provides users with a series of operations in interactively constructing property graphs to describe their query intents. To efficiently explore massive RDF datasets, we convert RDF data into property graphs for storage. This can greatly reduce the size of massive RDF datasets and more importantly the converted property graphs can instruct users to understand the underlying structure of RDF datasets, which is very useful in users' construction of their query property graphs. The constructed query property graphs are finally transformed into expressions with the query language of graph databases. With high-performance graph databases as query engines, we developed an RDF data exploration system - PG-Explorer. Through experiments over real-world datasets, we evaluated the effectiveness and superiority of our approach. The user study demonstrates that the proposed approach simplifies users' exploration of RDF data and can satisfy their exploration needs.",include,IC1 satisfied: The abstract explicitly states a direct RDF→Property Graph conversion (“we convert RDF data into property graphs for storage”) and a query-side transformation from user-constructed property-graph queries to graph database query language expressions (“constructed query property graphs are finally transformed into expressions with the query language of graph databases”). This is a concrete RDF↔PG interoperability/conversion approach (data conversion + query transformation) rather than background mention. IC2 satisfied: It is presented as a full research paper in a peer-reviewed journal (Expert Systems With Applications) and includes implementation (“developed an RDF data exploration system - PG-Explorer”) and evaluation (“Through experiments… evaluated… The user study demonstrates…”). No exclusion criteria apply based on the provided metadata/abstract.,gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:25.305793,3.8520452976226807
rayyan-662997969,Exploiting RDF Open Data Using NoSQL Graph Databases - ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,"RDF, or Resource Description Framework, is a well-established format for representing data. Based on the so-called RDF triples, it allows to represent data and properties over the data through the subject-predicate-object framework. By linking objects defined by unique identifiers, it is widely used for Open Data and Linked Open Data. On the other hand, relationships between objects are more and more managed through NoSQL graph databases which use the property graph model to structure information. Such databases provide indeed very efficient tools for handling huge volumes of complex data. They are especially powerful for retrieving relationships between objects (as for instance the famous friend of friend query). While many works have dealt with the transformation from various data formats to RDF, no work has addressed, as far as we know, the transformation from RDF to NoSQL graph databases. We thus consider this topic in this paper by proposing transformation rules and by testing our approach on real data.",maybe,"IC1 is largely supported: the abstract explicitly targets transformation from RDF (triples) to NoSQL graph databases that use the property graph model, stating it “propos[es] transformation rules” and tests on real data. However, IC2 is not explicitly satisfied in the provided metadata: the venue is unclear (journal not provided; only a book/series-like label “ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS” is given), and the abstract/metadata does not explicitly confirm this is a peer-reviewed full paper (vs. short paper, chapter, or non-peer-reviewed item). Because peer-reviewed primary research status cannot be confirmed from the given information, the article is marked maybe for Phase 3 verification.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:30.195743,4.888967514038086
rayyan-662997974,"PRSC: From PG to RDF and back, using schemas","Property graphs (PG) and RDF graphs are two popular database graph models, but they are not interoperable: data modeled in PG cannot be directly integrated with other data modeled in RDF. This lack of interoperability also impedes the use of the tools of one model when data are modeled in the other. In this paper, we propose PRSC, a configurable conversion to transform a PG into an RDF graph. This conversion relies on PG schemas and user-defined mappings called PRSC contexts. We also formally prove that a subset of PRSC contexts, called wellbehaved contexts, can be used to reverse back to the original PG, and provide the related algorithm. Algorithms for conversion and reversion are available as open-source implementations.",include,"IC1 satisfied: The abstract explicitly proposes a configurable conversion that transforms a Property Graph (PG) into an RDF graph using PG schemas and user-defined mappings (PRSC contexts), and also provides a formally proven reversible subset with an explicit reversion algorithm back to the original PG, with open-source implementations. This is a direct RDF↔PG mapping/conversion, not via another model. IC2 satisfied: Metadata indicates it is a journal paper in SEMANTIC WEB (peer-reviewed primary research). No exclusion criteria are triggered (not context-only; not other-model-only; not a short/non-peer-reviewed/survey; English title/abstract).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:34.052859,3.8561203479766846
rayyan-662997975,BrickLLM: A Python library for generating Brick-compliant RDF graphs using LLMs,"One of the key challenges of Energy Management and Information Systems in buildings is related to the lack of interoperability, due to the absence of standardization of the underlying data models. In recent years, there has been a growing interest in using ontology-based metadata models to address this issue, as they offer a structured approach to organize and share information across diverse systems (e.g. Brick ontology). However, the creation of ontology-based metadata models is often a labor-intensive task that requires specific domain expertise, hindering the practical use of such data models. For this reason, in this work the BrickLLM Python library is introduced, which addresses this issue by generating Brick-compliant Resource Description Framework graphs through Large Language Models, automating the process of converting natural language building descriptions into machine-readable metadata. The library supports both cloud-based APIs (e.g., OpenAI, Anthropic, Fireworks AI), local models (e.g. LLaMa3.2, etc.) and evenfine-tuned ones. This paper explores the architecture, key functionalities, and practical applications of BrickLLM, showcasing its potential impact on the future of building systems monitoring and automation.",exclude,"IC1 is not satisfied: the abstract describes generating Brick-compliant RDF graphs from natural-language building descriptions using LLMs, but it does not explicitly mention Property Graphs (PG/LPG) nor any direct mapping/conversion/query transformation between RDF and PG. It is therefore out of scope for RDF↔PG interoperability (violates the Phase 2 critical rule; aligns with EC1/EC2). IC2 appears satisfied (SoftwareX journal paper), but failing IC1 requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:37.563401,3.5095527172088623
rayyan-662997976,Interoperable Semantic Systems in Public Administration: AI-Driven Data Mining from Law-Enforcement Reports,"The digitisation of law-enforcement archives is examined with the aim of moving from static analogue records to interoperable semantic information systems. A step-by-step framework for optimal digitisation is proposed, grounded in archival best practice and enriched with artificial-intelligence and semantic-web technologies. Emphasis is placed on semantic data representation, which renders information actionable, searchable, interlinked, and automatically processed. As a proof of concept, a large language model-OpenAI ChatGPT, version o3-was applied to a corpus of narrative police reports, extracting and classifying key entities (metadata, persons, addresses, vehicles, incidents, fingerprints, and inter-entity relationships). The output was converted to Resource Description Framework triples and ingested into a triplestore, demonstrating how unstructured text can be transformed into machine-readable, interoperable data with minimal human intervention. The approach's challenges-technical complexity, data quality assurance, information-security requirements, and staff training-are analysed alongside the opportunities it affords, such as accelerated access to records, cross-agency interoperability, and advanced analytics for investigative and strategic decision-making. Combining systematic digitisation, AI-driven data extraction, and rigorous semantic modelling ultimately delivers a fully interoperable information environment for law-enforcement agencies, enhancing efficiency, transparency, and evidentiary integrity.",exclude,"IC1 is not satisfied: the abstract describes converting extracted information into RDF triples and ingesting them into a triplestore, but it does not mention Property Graphs (PG/LPG) nor any direct mapping/conversion/query translation between RDF and a Property Graph model. The work is about RDF-based semantic representation from unstructured text, which triggers EC2 (conversion to RDF without PG) and EC1 (no RDF–PG interoperability method presented). IC2 (peer-reviewed journal article) appears satisfied via the journal metadata, but failure of IC1 is sufficient for exclusion.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:40.459007,2.8936073780059814
rayyan-662997977,"Advanced Semantic Integration with RDF and R2RML for Unified Data Management - AMBIENT ASSISTED LIVING, 2024","Due to the growing demand for data integration in different fields, it has led to the development of innovative methods for the semantic integration of heterogeneous data sources. This study proposes a new approach that uses the Resource Description Framework (RDF) and Relational Database (RDB) in the RDB to RDF Mapping Language (R2RML) for the semantic integration of data resources within the framework of an integrated semantic model. This approach consists of an Extract, Transform, and Load (ETL) pipeline connected to an RDF triple store that allows the use of multiple ontologies in different domains and the management of distinct data models. The applicability of this method was demonstrated in the fields of healthcare and the Internet of Things, enhancing a unified view of data and interoperability. This process involves converting the data to RDF, creating an integrated RDF specification, storing it in an RDF repository, and querying it through a SPARQLendpoint, enabling intelligent decision-making processes. The implementation and results of this method show the integrity of semantic data and its strength in addressing the complex requirements of semantic interaction in multi-domain environments. This research promotes the applicability of semantic technologies for integrated data management by integrating a comprehensive set of tools and proving its practical applications. The proposed innovative approach provides a promising solution for the semantic integration of heterogeneous data sources, improving interoperability and enabling intelligent decision-making processes.",exclude,"IC1 is not satisfied: the abstract describes an ETL pipeline using R2RML to convert Relational Database (RDB) data to RDF, store it in an RDF triple store, and query via SPARQL. It does not explicitly mention Property Graphs/LPGs, nor any mapping/conversion/query transformation directly between RDF and Property Graphs. This falls under EC2 (conversion involving other models—RDB→RDF only—without a direct RDF↔PG translation layer). IC2 (primary peer-reviewed paper) is also not explicitly verifiable from the provided metadata (journal not provided), but exclusion is already warranted due to failing IC1.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:43.838245,3.3782293796539307
rayyan-662997978,Ontology-Based Semantic Reasoning for Multisource Heterogeneous Industrial Devices Using OPC UA,"The advent of smart manufacturing in Industry 4.0 signifies the era of connections. As a communication protocol, object linking and embedding for process control unified architecture (OPC UA) can address most semantic heterogeneity issues. However, its semantics are not formally defined at the application layer. To address the information silo problem caused by semantic heterogeneity, an integration framework named querying of ontology mapping-based OPC UA (QOMOU) is proposed. QOMOU extracts information models of OPC UA servers into resource description framework triples and utilizes Web Ontology Language for semantic enrichment and inference. Then, an event class semantic similarity calculation (ECSSC) method is proposed for device-type identification, enabling the classification of semantically heterogeneous OPC UA devices. The effectiveness of ECSSC is validated through queries with the RDF query language (SPARQL) protocol in Apache Jena. Experimental results demonstrate that ECSSC improves the accuracy of device identification by approximately 7\% compared to benchmark device identification models. Specifically, compared with graph embedding-based methods, QOMOU's query performance is approximately 13\% higher, and its query efficiency is 5\% higher on average compared to both structured query and extensible markup languages. Moreover, by employing a keyword-matching algorithm, the query accuracy of the existing heterogeneous data integration scheme is improved by 4\% on average. This enhancement can boost the operational efficiency of Internet of Things systems based on the OPC UA architecture.",exclude,"IC1 is not satisfied: the abstract describes extracting OPC UA information models into RDF triples and using OWL/SPARQL (Apache Jena) for reasoning and querying, but it does not explicitly mention Property Graphs (PG/LPG) or any direct mapping/conversion/query transformation between RDF and Property Graphs. The work is a peer-reviewed journal paper (IC2 satisfied), but it focuses on OPC UA → RDF and semantic reasoning within RDF/OWL, which falls under EC2 (conversions involving other models without a direct RDF↔PG translation layer).",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:46.547181,2.7079405784606934
rayyan-662997979,RDF-G{*}: An efficient RDF query answer engine based on graph model and star index,"In recent years, structured knowledge represented in the form of RDF (Resource Description Framework) data has been increasingly utilized by a growing number of applications, as a result efficient processing of SPARQL queries over RDF datasets has become more and more important. There exist two typical approaches to manage RDF data: relational approaches and graph-based approaches. The graph model fits the RDF framework more naturally for depending less on schema regulations, being easy to add or remove link, and handling queries by subgraph matching without costly join operations. However, there is still large room for improvement in existing graph-based RDF query engines. We propose RDF-G{*}, a high-performance RDF query engine based on the graph model and star index. RDF-G{*} incorporates a new multi-level filtering index, the star index, which is built using our proposed KDBox-SS-tree index. Additionally, we present a novel encoding method for the vertex neighborhood structure of the RDF data graph, utilizing minimum bounding boxes (MBB) and signatures. Furthermore, a meticulously designed subgraph matching algorithm and a cost-based query optimizer enable RDF-G{*} to execute SPARQL queries efficiently. Experiments on both synthetic and real-life RDF datasets demonstrate that our proposed query engine can dramatically boost the performance of SPARQL query processing.",exclude,"IC1 is not satisfied: the title/abstract describe an RDF/SPARQL query engine (graph-based RDF model, star index, subgraph matching, query optimizer) but do not explicitly propose or use any mapping, conversion, interoperability layer, schema mapping, or query transformation BETWEEN RDF and Property Graphs in any direction. The work focuses on RDF query processing performance only (EC1: RDF mentioned as the sole data model; no RDF↔PG translation). IC2 appears satisfied (journal paper), but missing IC1 is sufficient for exclusion.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:52.599888,6.050706148147583
rayyan-662997981,RDF(S) Store in Object-Relational Databases,"The Resource Description Framework (RDF) and RDF Schema (RDFS) recommended by World Wide Web Consortium (W3C) provide a flexible model for semantically representing data on the web. With the widespread acceptance of RDF(S) (RDF and RDFS for short), a large number of RDF(S) is available. Databases play an important role in managing RDF(S). However, there are few studies on using object-relational databases to store RDF(S). In this paper, the authors propose the formal definitions of RDF(S) model and object-relational databases model. Then they introduce the approach for storing RDF(S) in object-relational databases based on the formal definitions. They implement a prototype system to demonstrate the feasibility of the approach and test the performance and semantic retention ability of this prototype system with the benchmark dataset.",exclude,"IC1 is not satisfied: the abstract describes formalizing RDF(S) and object-relational database models and an approach for storing RDF(S) in object-relational databases, with a prototype and evaluation. There is no explicit mapping/conversion/query transformation between RDF and Property Graphs (LPG/PG) in any direction. This falls under EC2 (conversion involving other models—RDF to object-relational DB—without a direct RDF↔PG translation layer). IC2 appears satisfied (journal primary research), but all inclusion criteria must be met.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:03:57.426399,4.824512243270874
rayyan-662997983,Optimizing Keyword Search Over Federated RDF Systems,"The issue of keyword search in federated resource description framework(RDF) systems is revisited in this paper. Numerous independent SPARQL endpoints that solely offer SPARQL query interfaces make up a federated RDF system. Others find it challenging to remotely build up the global inverted indices over the full RDF network by downloading the dataset at various SPARQL endpoints. This poses a challenge for existing keyword search approaches. In this paper, we propose a keyword search approach for federated RDF systems without building up global inverted indices on the entire RDF graph. We build an offline schema graph for the federated RDF system. During query evaluation, the full-text search interfaces provided by existing SPARQL endpoints were used to map keywords to vertices in the schema graph. Subsequently, the schema graph was explored to construct SPARQL queries from the keywords. The constructed queries were evaluated over the underlying federated RDF systems. Some cost models were proposed to measure keyword mapping and query construction. On the other hand, to further improve the efficiency, a multiple query optimization strategy was designed to rewrite the queries and share the common computation during evaluation. Extensive experiments on real RDF datasets show that the proposed techniques are effective.",exclude,"IC1 is not satisfied: the abstract focuses entirely on keyword search optimization within federated RDF/SPARQL endpoints (schema graph construction, mapping keywords to vertices, constructing/rewriting SPARQL queries, cost models, experiments). It does not explicitly mention Property Graphs (PG/LPG) nor any direct RDF↔PG mapping, conversion, interoperability layer, or query transformation between RDF and PG. Thus it falls under EC1 (RDF-only context without RDF–PG conversion/mapping). IC2 (peer-reviewed journal paper) appears satisfied (IEEE Transactions on Big Data), but without IC1 the paper must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase2,2026-09-14T17:04:00.998602,3.5712008476257324
