bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934059,"Core, intertwined, and ecosystem-specific clusters in platform ecosystems: analyzing similarities in the digital transformation of the automotive, blockchain, financial, insurance and IIoT industry",não entra,"Estudo sobre ecossistemas de plataformas sem abordar Digital Twins como conceito central, nem técnicas de explicabilidade/XAI ou interação humana em DT. Não atende IC1–IC4; aplica-se EC1.",gpt-5-petrobras,1.0,2026-03-02T15:54:40.829468,4.049408912658691
rayyan-471934064,What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,não entra,"Artigo é uma revisão sistemática de Construction 4.0 (estudo secundário), sem arquitetura de Digital Twin nem discussão formal de XAI/explicabilidade; viola EC3 e não cumpre IC1–IC4.",gpt-5-petrobras,1.0,2026-03-02T15:54:45.847373,5.015903949737549
rayyan-471934086,A structured literature review on the interplay between emerging technologies and COVID-19 – insights and directions to operations fields,não entra,Artigo é uma revisão estruturada (estudo secundário) sobre tecnologias emergentes na COVID-19; não tem Digital Twin como foco central nem discute XAI em DT. Enquadra-se em EC3 e EC1.,gpt-5-petrobras,1.0,2026-03-02T15:54:53.492719,7.644309997558594
rayyan-471934095,Data Analytics in Industry 4.0: A Survey,não entra,"É um survey/estudo secundário sobre analytics em Indústria 4.0, não tem Digital Twin como foco central nem aborda XAI em DTs; enquadra-se em EC3 e não atende IC1–IC4.",gpt-5-petrobras,1.0,2026-03-02T15:54:59.429955,5.936221122741699
rayyan-471934107,"Integration of Artificial Intelligence, Blockchain, and Wearable Technology for Chronic Disease Management: A New Paradigm in Smart Healthcare",não entra,"O artigo não trata de Digital Twins; foca em IA, blockchain e wearables para saúde. Não há DT como conceito central nem XAI/explicabilidade em DT. Não atende IC1–IC4 e cai em EC1.",gpt-5-petrobras,1.0,2026-03-02T15:55:05.875244,6.44528865814209
rayyan-471934110,State-of-the-art survey on digital twin implementations,não entra,"Artigo é um survey (estudo secundário), excluído por EC3; não propõe/avalia arquitetura DT nem mecanismos de explicabilidade ou interação humana (IC1–IC4 não atendidos).",gpt-5-petrobras,1.0,2026-03-02T15:55:13.208044,7.332800626754761
rayyan-471934115,"Deep learning models for predictive maintenance: a survey, comparison, challenges and prospects",não entra,"Revisão de DL para PdM, sem foco em Digital Twins ou XAI; é estudo secundário (EC1, EC3).",gpt-5-petrobras,1.0,2026-03-02T15:55:17.207238,3.9981725215911865
rayyan-471934116,A survey on outlier explanations,não entra,"É uma revisão sobre explicações de outliers, sem relação com Digital Twins; viola EC1 e EC3 e não atende IC1–IC4.",gpt-5-petrobras,1.0,2026-03-02T15:55:20.264946,3.055694341659546
rayyan-471934121,Machine learning techniques applied to mechanical fault diagnosis and fault prognosis in the context of real industrial manufacturing use-cases: a systematic literature review,não entra,"Revisão sistemática sobre ML em manutenção, sem foco em Digital Twins ou XAI em DT; excluído por EC3 (estudo secundário) e EC1/EC2.",gpt-5-petrobras,1.0,2026-03-02T15:55:24.533797,4.268333911895752
rayyan-471934160,"AI-big data analytics for building automation and management systems: a survey, actual challenges and future perspectives",não entra,"Artigo de revisão (survey) sobre AI-big data em BAMS, sem foco central em Digital Twins nem discussão formal de XAI; excluído pelos critérios EC3 e EC1.",gpt-5-petrobras,1.0,2026-03-02T15:55:29.165778,4.629770994186401
rayyan-471934225,Generative AI in mobile networks: a survey,não entra,"Survey sobre generative AI em redes móveis; não trata de Digital Twins nem XAI em DT (falha IC1–IC4) e é estudo secundário (EC3), além de não relacionado a DT (EC1).",gpt-5-petrobras,1.0,2026-03-02T15:55:32.925602,3.75880765914917
rayyan-471934238,Prioritization of e-traceability drivers in the agri-food supply chains,não entra,"O estudo trata de e-traceability e MCDM na cadeia agroalimentar, sem envolver Digital Twins nem discutir explicabilidade no contexto de DT, atendendo EC1/EC2 de exclusão.",gpt-5-petrobras,1.0,2026-03-02T15:55:36.428466,3.5008621215820312
rayyan-471934241,AI-based personality prediction for human well-being from text data: a systematic review,não entra,"Revisão sistemática sobre predição de personalidade, sem relação com Digital Twins (EC1) e é estudo secundário (EC3).",gpt-5-petrobras,1.0,2026-03-02T15:55:41.484885,5.0544373989105225
rayyan-471934279,Three-way decisions in generalized intuitionistic fuzzy environments: survey and challenges,não entra,"Artigo de revisão sobre 3WD/IFS, não relacionado a Digital Twins nem XAI em DT; viola EC1 e EC3 e não atende IC1.",gpt-5-petrobras,1.0,2026-03-02T15:55:46.025536,4.538650035858154
rayyan-471934284,A comprehensive survey on communication techniques for the realization of intelligent transportation systems in IoT based smart cities,não entra,"Não é sobre Digital Twins e trata-se de uma revisão/survey de ITS e comunicação em IoT. Não aborda XAI, papéis humanos ou explicações em DT; atende EC1 e EC3.",gpt-5-petrobras,1.0,2026-03-02T15:55:49.215042,3.187487840652466
rayyan-471934286,Chest X-ray Images for Lung Disease Detection Using Deep Learning Techniques: A Comprehensive Survey,não entra,"Survey sobre deep learning em CXR, sem relação com Digital Twins ou XAI em DT; além disso é estudo secundário (EC1, EC3).",gpt-5-petrobras,1.0,2026-03-02T15:55:51.933847,2.7168021202087402
rayyan-471934301,Jurisprudence: blockchain enabled privacy preserving framework complying digital ethics,não entra,Foco em blockchain e privacidade/autenticação; não trata de Digital Twins nem XAI ou interação humano-no-loop.,gpt-5-petrobras,1.0,2026-03-02T15:55:55.360186,3.4253146648406982
rayyan-471934310,Blockchain-enabled Smart Contracts and the Internet of Things: Advancing the research agenda through a narrative review,não entra,"Revisão narrativa sobre smart contracts e IoT; não trata de Digital Twins nem de explicabilidade em DT e é estudo secundário (EC1, EC3).",gpt-5-petrobras,1.0,2026-03-02T15:55:58.841135,3.479949712753296
rayyan-471934315,How artificial intelligence will transform project management in the age of digitization: a systematic literature review,não entra,"Estudo secundário (SLR) sobre IA em gestão de projetos, sem foco em Digital Twins; excluído por EC1 e EC3.",gpt-5-petrobras,1.0,2026-03-02T15:56:01.852647,3.0084755420684814
rayyan-471934319,Edge artificial intelligence for big data: a systematic review,não entra,Revisão sistemática de Edge AI para big data; não é centrado em Digital Twins nem aborda XAI/explicabilidade em DT. Enquadra-se em EC1 e EC3.,gpt-5-petrobras,1.0,2026-03-02T15:56:05.197121,3.34140944480896
rayyan-471934336,"Integrating artificial intelligence in industry 4.0: insights, challenges, and future prospects–a literature review",não entra,"Revisão secundária sobre IA em Indústria 4.0, sem foco central em Digital Twins nem XAI aplicado a DT; excluído por EC3 e não atende IC1/IC2.",gpt-5-petrobras,1.0,2026-03-02T15:56:10.584747,5.386608600616455
rayyan-471934354,Humanoid Robot Motion Planning Approaches: a Survey,não entra,"Artigo é uma survey sobre planejamento de movimento de robôs humanoides, sem relação com Digital Twins ou técnicas de explicabilidade; além disso é estudo secundário, excluído por EC1 e EC3.",gpt-5-petrobras,1.0,2026-03-02T15:56:14.412723,3.8259482383728027
rayyan-471934362,Hybrid energy efficient deep learning and redactable consortium blockchain-based secure framework for smart parking in smart cities,não entra,Foco em smart parking com deep learning e blockchain; não aborda Digital Twins nem XAI ou papéis humanos. Viola EC1 e EC2; não atende IC1–IC4.,gpt-5-petrobras,1.0,2026-03-02T15:56:19.676398,5.26164984703064
rayyan-471934365,Big data and predictive analytics: A systematic review of applications,não entra,"Estudo secundário (SLR) sobre big data/predição, sem foco em Digital Twins ou XAI em DT; excluído por EC1 e EC3.",gpt-5-petrobras,1.0,2026-03-02T15:56:22.785651,3.107229232788086
rayyan-471934370,Path signature-based XAI-enabled network time series classification,não entra,"O trabalho foca em XAI para classificação de séries temporais de rede (5G/NAS) sem qualquer contexto de Digital Twin. Não há arquitetura DT, papéis humanos ou discussão de explicabilidade dentro de DT; portanto, não atende IC1–IC4 e se enquadra em EC1.",gpt-5-petrobras,1.0,2026-03-02T15:56:28.406821,5.618128538131714
rayyan-471934378,Application of Data-Driven Surrogate Models in Structural Engineering: A Literature Review,não entra,"Revisão sobre modelos substitutos em engenharia estrutural, sem foco em Digital Twins (falha IC1) e é estudo secundário (EC3).",gpt-5-petrobras,1.0,2026-03-02T15:56:32.515566,4.105705261230469
rayyan-471934408,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,não entra,Artigo é uma revisão sistemática (estudo secundário) sobre Prescriptive Analytics e não trata de Digital Twins; atende EC1 e EC3.,gpt-5-petrobras,1.0,2026-03-02T15:56:35.976403,3.4577887058258057
rayyan-471934413,"A decision-making model for self-driving vehicles based on GPT-4V, federated reinforcement learning, and blockchain",não entra,"Não aborda Digital Twins nem os usa como conceito central; discute GPT-4V, FRL e blockchain para veículos autônomos, sem mecanismos de explicabilidade no contexto de DT.",gpt-5-petrobras,1.0,2026-03-02T15:56:41.128974,5.1515562534332275
rayyan-471934414,A systematic literature review for load balancing and task scheduling techniques in cloud computing,não entra,"SLR sobre balanceamento em nuvem, sem foco em Digital Twins (EC1) e é estudo secundário (EC3).",gpt-5-petrobras,1.0,2026-03-02T15:56:44.354873,3.1647965908050537
rayyan-471934422,"Comprehensive survey of body weight estimation: techniques, datasets, and applications",não entra,"Survey sobre estimativa de peso; não aborda Digital Twins nem XAI/explicabilidade; estudo secundário (EC1, EC3).",gpt-5-petrobras,1.0,2026-03-02T15:56:47.783519,3.3294754028320312
