bibtex_id,title,abstract,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934103,Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM,"This paper presents contributions of the ANR McBIM (Communicating Material for BIM) project regarding Digital Building Twins, specifically how Semantic Web technologies allow providing explainable decision-support. Following an introduction stating our understanding of a Digital Building Twin (DBT), namely a lively representation of a buildings' status and environment, we identify five main research domains following the study of main research issues related to DBT. We then present the state-of-the-art and existing standards for digitizing the construction process, Semantic Web technologies, and wireless sensor networks. We further position the main contributions made so far in the ANR McBIM project's context according to this analysis, e.g., sensor placement in the communicating material and explainable decision-support.",exclude,"IC1 (Digital Twin central): Satisfied. The abstract is explicitly about “Digital Building Twins,” provides the authors’ understanding/definition of a DBT, and frames the project contributions in that context.

IC2 (Explainability/XAI within DT): Partially satisfied but not strong enough. The abstract states Semantic Web technologies “allow providing explainable decision-support” and lists “explainable decision-support” as a contribution. However, it does not explicitly describe any concrete explainability/XAI mechanism (e.g., model, method, interface, evaluation, or formal analysis); it remains at a high-level claim.

IC3 (Explicit human roles / human-in-the-loop): Not satisfied. The abstract does not define any human roles (operator, decision-maker, analyst, etc.) nor explicitly describe human-in-the-loop/on-the-loop or human-centered interaction as part of the system architecture or evaluation. “Decision-support” is mentioned, but without explicit human role/interaction specification.

Because IC3 is missing (and IC2 lacks explicit mechanism detail), the article does not meet ALL Phase 3 inclusion criteria and must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:56:47.144301,5.140786647796631
rayyan-471934118,Human Digital Twin (HDT) Driven Human-Cyber-Physical Systems: Key Technologies and Applications,without abstract,exclude,"IC1: Partially supported by the title (“Human Digital Twin (HDT) Driven…”) which suggests Digital Twin is central, but there is no abstract/metadata text confirming the DT is a defining concept of a specific proposed system rather than a general theme. IC2: Not supported—no abstract is available and the provided metadata contains no explicit mention of explainability/interpretability/transparency/XAI mechanisms within a Digital Twin context. IC3: Not supported—no abstract/metadata describes explicit human roles (operator/decision-maker/etc.) or concrete human-in/on-the-loop interaction mechanisms as part of the architecture or evaluation. Per Phase 3 rules, missing/insufficient explicit evidence for IC2 and IC3 requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:56:50.340194,3.1942429542541504
rayyan-471934195,Developing DELPHI expert consensus rules for a digital twin model of acute stroke care in the neuro critical care unit,"IntroductionDigital twins, a form of artificial intelligence, are virtual representations of the physical world. In the past 20 years, digital twins have been utilized to track wind turbines' operations, monitor spacecraft's status, and even create a model of the Earth for climate research. While digital twins hold much promise for the neurocritical care unit, the question remains on how to best establish the rules that govern these models. This model will expand on our group’s existing digital twin model for the treatment of sepsis.MethodsThe authors of this project collaborated to create a Direct Acyclic Graph (DAG) and an initial series of 20 DELPHI statements, each with six accompanying sub-statements that captured the pathophysiology surrounding the management of acute ischemic strokes in the practice of Neurocritical Care (NCC). Agreement from a panel of 18 experts in the field of NCC was collected through a 7-point Likert scale with consensus defined a-priori by ≥ 80% selection of a 6 (“agree”) or 7 (“strongly agree”). The endpoint of the study was defined as the completion of three separate rounds of DELPHI consensus. DELPHI statements that had met consensus would not be included in subsequent rounds of DELPHI consensus. The authors refined DELPHI statements that did not reach consensus with the guidance of de-identified expert comments for subsequent rounds of DELPHI. All DELPHI statements that reached consensus by the end of three rounds of DELPHI consensus would go on to be used to inform the construction of the digital twin model.ResultsAfter the completion of three rounds of DELPHI, 93 (77.5%) statements reached consensus, 11 (9.2%) statements were excluded, and 16 (13.3%) statements did not reach a consensus of the original 120 DELPHI statements.ConclusionThis descriptive study demonstrates the use of the DELPHI process to generate consensus among experts and establish a set of rules for the development of a digital twin model for use in the neurologic ICU. Compared to associative models of AI, which develop rules based on finding associations in datasets, digital twin AI created by the DELPHI process are easily interpretable models based on a current understanding of underlying physiology.",exclude,"IC1 (Digital Twin central): Satisfied. The study’s explicit purpose is to generate DELPHI consensus rules “to inform the construction of the digital twin model” for acute stroke care in the neurologic ICU.

IC2 (Explicit XAI/interpretability within DT context): Not satisfied. The abstract contains only a general claim that “digital twin AI created by the DELPHI process are easily interpretable models,” but it does not explicitly propose, implement, evaluate, or formally analyze any explainability/interpretability mechanism (e.g., specific XAI methods, transparency features, interpretability metrics, or evaluation procedures) within the digital twin.

IC3 (Explicit human roles / human-in-the-loop interaction): Not satisfied. Humans appear only as DELPHI experts used to elicit rules during model development; the abstract does not explicitly define operational human roles in the digital twin system (e.g., clinician-in-the-loop decision-making, oversight, interaction workflows) or any human-centered interaction as part of system architecture or evaluation.

Because IC2 and IC3 are not explicitly met in the abstract, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:56:55.326357,4.984130382537842
rayyan-471934200,Visual analytics for digital twins: a conceptual framework and case study,"The new generation of intelligent manufacturing systems requires a deep integration of human-cyber-physical spaces. Visual analytics plays a critical role in effectively navigating humans through twin data, enabling them to make better decisions and discover new knowledge, contributing to the evolution of digital twins. However, due to the lack of study of visual analytics components and their inter-relations in the context of the digital twin, the visual analytic process of digital twin systems lacks guidance to fully integrate human domain experience and cognitive abilities into the intelligent decision-making process of digital twin systems. Therefore, this paper proposes a conceptual visual analytics framework for digital twins (DTVA). Moreover, from the perspective of data and models in digital twins, the works concerning key factors of visual analytics, including digital-twin visual representation (DTV), analytical reasoning (DTA), and human–machine interface (DTI), are analyzed from data flow, task flow, and visual flow. At last, a case study of DTVA-based anomaly detection, which focuses on the abnormality detection of crane operation status, is presented. This work can support digital twin visual analytics, put forward ideas for the direction of visual analytics, and provide a promising direction for digital twin visualization services.",exclude,"IC1 (Digital Twin central): Satisfied. The paper explicitly proposes a “conceptual visual analytics framework for digital twins (DTVA)” and presents a DTVA-based digital twin case study.

IC2 (Explicit XAI/explainability within DT context): Not satisfied. The abstract discusses visual analytics components (visual representation, analytical reasoning, human–machine interface) and “guiding humans through twin data,” but it does not explicitly propose or evaluate explainability/interpretability/transparency/XAI mechanisms (no explicit mention of explanations, interpretability methods, transparency techniques, or XAI-oriented evaluation) within the digital twin context.

IC3 (Explicit human role / human-in-the-loop): Satisfied. The abstract explicitly emphasizes integrating “human domain experience and cognitive abilities” and includes a “human–machine interface (DTI)” as a key framework component.

Final decision: Exclude because IC2 is missing; Phase 3 requires all criteria to be explicitly met in the abstract/metadata.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:56:59.095723,3.7663633823394775
rayyan-471934367,Sirael: Virtual Metabolic Machine,"A metabolic simulator is essential to reduce adverse effects of clinical studies. Moreover, it reduces monetary costs when developing new drugs and control algorithms for new devices. Diabetes is one of the diseases, where the metabolic simulation has established. Such a simulator mimics real metabolism to provide simulated responses to external events such as meal ingestion, physical activity, drugs, and pump-delivered insulin. This paper proposes a novel approach, which addresses limits of the current metabolic simulators. First, a simulator is usually based on a set of differential equations, which are de facto black boxes for physicians. The proposed approach, Sirael, provides a metabolic language, which describes chemical reactions and bodily fluid equilibration in a manner lectured at medical faculties. Second, the current metabolic simulators are authority accepted with a single-day scenario and few meals only. The proposed framework targets multiple weeks. Third, Sirael can model other diseases, drugs, and treatments, because its language is not bound to diabetes only. Fourth, Sirael required readily available equipment only, when applied to Diabetes Type 1. We created 18 digital twins from real patients, with 37 identified initial states, average relative error of 8.7%, and standard deviation of 8.0%. This provides free, open-source, and statistically significant base for conducting Diabetes Type 1 in silico studies",exclude,"IC1 (Digital Twin central): Satisfied. The abstract states, “We created 18 digital twins from real patients,” and positions Sirael as a patient-specific metabolic simulation framework for in silico studies.

IC2 (Explainability/interpretability within DT context): Satisfied. The abstract explicitly frames differential-equation simulators as “black boxes for physicians” and proposes a “metabolic language” aligned with medical faculty teaching to improve understandability/transparency of the simulator/digital-twin model.

IC3 (Explicit human roles or human-in/on-the-loop interaction): Not satisfied. While “physicians” are mentioned as stakeholders who find current simulators black boxes, the abstract does not explicitly define any human role in the system (e.g., operator/decision-maker/analyst) nor describe a human-in-the-loop/on-the-loop or human-centered interaction mechanism as part of the architecture or evaluation.

Because IC3 is missing under the Phase 3 rule requiring all criteria to be explicitly supported by the abstract/metadata, the article must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:03.544897,4.427682399749756
rayyan-471934424,A DT framework integrating human and artificial intelligence for power consumption prediction in CNC machining,"Digital twins (DT) have increasingly garnered attention in today’s manufacturing industry for their potential to enhance productivity, efficiency, and decision-making processes. This study presents a human-centric digital twin framework (HCDT) specifically designed for a three-axis vertical milling machine (VMC3), following the ISO 23247 standard. Our system seeks to offer a comprehensive virtual depiction of a tangible milling machine, facilitating immediate monitoring, analysis, and enhancement of machining operations. This study targets specifically the prediction of power consumption in three-axis vertical machining using advanced machine learning. Power consumption during modified Kakino toolpath cutting was examined through a series of trials that involved adjusting spindle speed, depth of cut, and feed rate. The analysis was conducted utilizing physical sensors, mathematical modeling, and machine learning. The utilization of machine learning methods, specifically random forest, exhibited encouraging outcomes, as evidenced by a mean absolute error (MAE) of 17.30. In addition, virtual simulations were performed to forecast power usage. The proposed applied digital twin (ADT) incorporates human intelligence and artificial intelligence to effectively integrate physical and virtual environments, offering a unique approach that adheres to the ISO 23247 framework. The cross-system entity of the digital twin showcases that the calculated power has large variations with the experimental power. However, the proposed ADT approach has resulted in higher similarity to the calculated, experimental, and predicted power consumption respectively in the proposed digital twin scenario. Also, the addition of explainability to the result has developed the trustworthiness in the digital twin environment.",exclude,"IC1 is satisfied: the work is explicitly framed as a “human-centric digital twin framework (HCDT)” for a milling machine, following ISO 23247, and the digital twin is central (physical sensors + modeling + ML + virtual simulations integrating physical/virtual environments). IC2 is NOT explicitly satisfied: the abstract only states “addition of explainability… developed the trustworthiness” but provides no concrete explainability/XAI mechanism, method (e.g., feature attribution, surrogate models, rule extraction), implementation detail, or evaluation of explainability within the DT context. IC3 is NOT explicitly satisfied: although it claims to “incorporate human intelligence” and is termed “human-centric,” the abstract does not explicitly define human roles (operator/engineer/decision-maker) nor describe a specific human-in/on-the-loop interaction or architectural component involving humans. Because IC2 and IC3 are missing/ambiguous based on the abstract/metadata, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:07.822792,4.275860786437988
rayyan-471934527,A digital twin-based biomechanical and psychosocial coupling framework for university sports dance training and evaluation,"The digital twin-based framework presented in this study integrates both the biomechanical analysis and psychological assessment thus improving the sports dance training in the university sector. The synchronizing of the 3D modeling and the real-time data collection from the Latin and modern dance curricula is used by the system to capture the students’ physical performance and psychological development. Of the total, 118 participants were evaluated through various datasets, with the biomechanical indicators (for example, stability of joints, balance, and efficiency of movement) analyzed alongside the psychological scales that are validated. The findings show that there are very strong associations between the movement that is very fluid and the happiness, the core strength and the emotional regulation, and the dance coordination and the self-confidence. The model which has been put forth is a considerable advance over the classic clustering methods-namely MLAPW and MLKMeans-monetarily by accuracy, global optimization, and interpretability. The pairing of Hierarchical Affinity Propagation (HAP) with the digital twin framework resulted in a maximum of 17.6% increase in the correctness of clustering and a 15.3% decrease in average distance error across multi-level coupling when compared with the most successful baseline, respectively. It is an interdisciplinary methodology that allows the use of personalized, data-driven sports dance instruction and at the same time demonstrates the digital twin technology’s capability of developing the whole person, both physically and mentally, in the educational context.",exclude,"IC1 (Digital Twin central): Satisfied. The abstract repeatedly frames the contribution as a “digital twin-based framework” integrating 3D modeling and real-time data for sports dance training/evaluation.

IC2 (Explicit XAI/interpretability within DT context): Not satisfied. The abstract only claims the proposed model improves “interpretability” compared with baseline clustering methods (MLAPW, MLKMeans), but it does not explicitly describe any explainability/interpretability/XAI mechanism (e.g., explanations, feature attributions, transparent DT reasoning, user-facing interpretability module) implemented or evaluated within the digital twin.

IC3 (Explicit human roles / human-in-the-loop interaction): Not satisfied. Although 118 participants (students) are evaluated and psychological scales are used, the abstract does not explicitly define human roles (operator/teacher/decision-maker/analyst) nor describe human-in-the-loop/on-the-loop/human-centered interaction as part of the system architecture or evaluation.

Because IC2 and IC3 are not explicitly supported, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:12.215746,4.391400337219238
rayyan-471934566,Unsupervised anomaly detection in robotic systems via high-fidelity Digital Twins and deep autoencoders,"Industrial robotic manipulators play a central role in modern manufacturing but remain vulnerable to faults in sensors and actuators that may compromise safety and operational continuity. This paper proposes an unsupervised anomaly detection framework that integrates a high-fidelity Digital Twin (DT) of the Stäubli TX60 robot with several deep autoencoder architectures. The investigated models include a compact feedforward autoencoder (Dense AE), a deeper variant with higher representational capacity (Deep AE), and two recurrent architectures based on Long Short-Term Memory (LSTM) and Gated Recurrent Units (GRU), designed to capture temporal dependencies in motion data. The DT, calibrated with CAD specifications and experimental joint trajectories, generates both nominal and faulty motion sequences, enabling controlled training and rigorous validation. All autoencoders are trained solely on fault-free data, and anomalies are detected using reconstruction error. Experiments show that the Deep AE provides the best balance between precision and recall, while the LSTM AE excels in capturing gradual temporal degradations. The Dense AE, although less accurate, offers low-latency performance suitable for real-time deployment. Comparisons with classical approaches, including Principal Component Analysis (PCA), Isolation Forest, and One-Class SVM, confirm the superiority of deep autoencoder-based methods in modeling nonlinear and multivariate joint dynamics. In addition, a Variational Autoencoder (VAE) was implemented as a representative baseline from recent deep anomaly detection methods. While the VAE slightly outperformed traditional AEs in terms of detection accuracy, it incurred higher inference latency, highlighting a trade-off between accuracy and real-time feasibility. This trade-off further motivates the choice of autoencoders in manufacturing scenarios where low-latency monitoring is critical. Finally, the framework is deployed in Simulink and validated under real-time fault injection, enabling joint-level fault localization and interpretable diagnostics. The results highlight the potential of combining Digital Twins with deep learning for scalable, interpretable, and real-time fault detection in industrial robotics, paving the way for predictive maintenance and safer robotic operations.",exclude,"IC1 (DT centrality): Satisfied. The abstract explicitly states the framework “integrates a high-fidelity Digital Twin (DT)” that is calibrated and used to generate nominal/faulty sequences and support real-time fault injection/validation, making the DT a defining component.

IC2 (explicit XAI/interpretability mechanism in DT context): Not satisfied. Although the abstract claims “interpretable diagnostics” and “joint-level fault localization,” it does not explicitly describe any explainability/interpretability method or mechanism (e.g., feature attribution, saliency, concept/rule extraction, causal/graphical explanations, explanation interface, transparency analysis) implemented or evaluated within the DT context. The interpretability claim is outcome-level and remains vague/unsupported by a described XAI technique.

IC3 (explicit human roles / human-in-the-loop): Not satisfied. The abstract contains no explicit definition of human roles (operator/maintainer/engineer/analyst) and no human-in/on-the-loop or human-centered interaction, workflow, or evaluation component.

Because IC2 and IC3 are missing/ambiguous in the abstract, the article does not meet all Phase 3 inclusion criteria and must be excluded.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:17.318087,5.096340894699097
rayyan-471934681,Predicting Recovery Factor with Digital Twins and Interpretable Machine Learning: A Case Study of South China Sea Reservoirs,"Accurately prediction of recovery factor(RF) is essential for optimizing reservoir development, especially with the sustainability goal of maximizing fossil fuel efficiency. Conventional methods, such as analogies and numerical simulations, face challenges in dealing with complex and uncertain reservoir conditions. In this study, the conversion ratios of horizontal and vertical wells were calculated using digital twin technology and the study sample was supplemented by virtual development to enhance RF prediction. The study created a dataset of 128 actual and 190 virtual reservoirs using Latin Hypercube Sampling to fully enhance the data. Of the 11 evaluated machine learning models, AdaBoost performed the best (\(\hbox {R}^{2}\)= 0.9482, MAPE = 1.76%). Feature importance analysis using SHAP identified key factors such as oil saturation and well pattern density, providing transparency for sustainable decision-making in reservoir management. In addition, a user-friendly web application was developed for real-time forecasting, leading to more efficient and convenient resource management.",exclude,"IC1 is satisfied: the abstract explicitly states “digital twin technology” is used to calculate conversion ratios and to generate “virtual reservoirs” via virtual development to improve recovery factor prediction, indicating DT is a core methodological element. IC2 is satisfied: it explicitly applies interpretability within the DT-enabled workflow via “Feature importance analysis using SHAP,” framed as providing “transparency” for decision-making. IC3 is not satisfied: while it mentions “decision-making in reservoir management” and a “user-friendly web application,” the abstract does not explicitly define any human roles (e.g., engineer/operator/analyst) nor describe any human-in-the-loop/on-the-loop/human-centered interaction mechanism as part of the system architecture or evaluation. Under Phase 3 rules, missing IC3 requires exclusion.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:20.861364,3.541531801223755
rayyan-471934763,Digital Twins for Monitoring Neuromotor Development in Preterm Infants: Conceptual Framework and Proof-of-concept Study,"Preterm birth leads to an increased risk of long-term consequences, with over 50% of children born <30 weeks facing motor, cognitive, or behavioural impairments. Early monitoring of motor developmental trajectories, strongly associated with neurodevelopmental outcome, is crucial for a timely identification of deviations from the reference path and the prediction of possible neurodevelopmental disorders (NDDs). However, the current understanding of the causal pathways through which motor difficulties emerge and evolve is limited by the lack of quantitative, standardised, and interpretative measures for infant motor development, and the need for a complex multidisciplinary examination of medical history. To overcome these limitations, we propose an approach based on Digital Twins (DTs) and innovative technology-based interpretative metrics for motor assessment to support holistic longitudinal evaluations of infant development. The DT enables the integration of multimodal data, including algorithms for data processing and artificial intelligence methods for data analysis, into a unique framework. Details on the DT ecosystem, internal model, and engine are provided. As a first step, a proof-of-concept application was implemented to show the feasibility of the framework, not yet exploring its full longitudinal potential. This initial study was based on already published data (17 full-term children, 21 preterm children born between 29 and 36 gestational weeks, and 8 very preterm children born\(\le\)28 gestational weeks) and illustrates the integration of motor measures with clinical and cognitive information, their standardisation into the DT model, and a first set of advanced analyses. Given the relevance of the problem and the lack of standardised, structured follow-up protocols to monitor motor trajectory in preterm children, the proposed solution has the potential for a significant impact in clinical practice. Moreover, its usable and scalable design allows for easy adaptation to large, multi-center cohort studies targeting various infant clinical populations where motor function monitoring is essential (i.e. from children with rare neurological disorders to all newborns).",exclude,"IC1 is satisfied: the work is explicitly “based on Digital Twins (DTs)”, describes the “DT ecosystem, internal model, and engine,” and implements a proof-of-concept DT application, making DT central and defining. IC2 is not satisfied: although the abstract mentions “interpretative metrics” and the use of “artificial intelligence methods,” it does not explicitly propose or evaluate explainability/interpretability/transparency/XAI mechanisms within the DT (e.g., explanation methods, transparent models, formal interpretability analysis, or explanation interfaces). IC3 is not satisfied: despite aiming to support clinical practice and integrating clinical/cognitive information, the abstract does not explicitly define human roles (clinician/operator/decision-maker) nor describe any human-in-the-loop/on-the-loop human-centered interaction in the DT architecture or evaluation. Because IC2 and IC3 are missing/ambiguous, the article must be excluded under Phase 3 rules.",gpt-5-2-petrobras,PromptBuilderPhase3,2026-04-07T11:57:24.683458,3.8202006816864014
