bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,exclude,"IC1 not satisfied: The abstract/metadata does not explicitly reference a Digital Twin; it describes a 'Digital Proxy' but does not claim a Digital Twin as a central concept. IC2 not satisfied: There is no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms. IC3 is satisfied by the explicit mention of human-in-the-loop corrective management actions, but all criteria must be met. Therefore, the article is excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:03:56.003713,13.494781017303467
rayyan-471934063,"Framework for developing alternative reality environments to engineer large, complex systems",exclude,"IC1 not met: the abstract does not mention Digital Twins, and the central concept is an XR framework/taxonomy, not a Digital Twin architecture. IC2 not met: there is no explicit discussion of explainability, interpretability, transparency, or XAI mechanisms. While human stakeholders are mentioned, satisfying IC3 partially, all criteria must be met. EC1 applies as the work is unrelated to Digital Twins.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:03.345049,7.339317798614502
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",exclude,"IC1 not clearly met: the abstract only mentions using a digital twin for verifying object poses, not as a central concept of a proposed architecture/system. IC2 not met: although it motivates that robots should be able to explain their actions, the abstract does not explicitly propose, implement, evaluate, or formally discuss explainability/interpretability mechanisms within the Digital Twin context. IC3 not met: no explicit human roles or human-in/on-the-loop mechanisms are described. Additionally, the article is framed as an overview summarizing advances, indicating a secondary study (EC3).",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:14.269734,10.923659563064575
rayyan-471934070,Real-time discrete event simulation: a framework for an intelligent expert system approach utilising decision trees,exclude,"IC1 not satisfied: The abstract and title focus on discrete event simulation, optimisation, and decision trees; there is no explicit mention of a Digital Twin, nor is a DT central to the framework. IC2 not satisfied in DT context: While regression/classification trees are used to ""assist stakeholders with understanding the relationships between input and output variables"" (an interpretability element), this is not discussed within a Digital Twin context. IC3 ambiguous: The abstract mentions ""stakeholders"" but does not explicitly define human roles (e.g., operator, decision-maker) or describe human-in-the-loop/on-the-loop mechanisms. Since IC1 and IC2 are unmet, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:26.503772,12.232013940811157
rayyan-471934072,"Model-Based Feature Information Network (MFIN): A Digital Twin Framework to Integrate Location-Specific Material Behavior Within Component Design, Manufacturing, and Performance Analysis",exclude,"IC1 is satisfied: the title and abstract explicitly present MFIN as a Digital Twin framework and state it enables a digital twin description. However, IC2 is not satisfied: the abstract contains no explicit mention of explainability, interpretability, transparency, or XAI mechanisms within the Digital Twin context. IC3 is not satisfied: there is no explicit definition of human roles or mention of human-in-the-loop/on-the-loop or human-centered interaction. Therefore, required criteria are missing.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:33.008293,6.502512216567993
rayyan-471934075,An Agent-Based Digital Twin for Exploring Localized Non-pharmaceutical Interventions to Control COVID-19 Pandemic,exclude,"IC1 satisfied: The work explicitly presents a digital twin ('a configurable, fine-grained agent-based simulation model that serves as a virtual representation, i.e., a digital twin of a...city'). IC2 not satisfied: The abstract contains no explicit proposal, implementation, evaluation, or discussion of explainability, interpretability, transparency, or XAI mechanisms; it focuses on simulating what-if scenarios and predicting outcomes without referencing XAI or transparency features. IC3 not satisfied: The abstract does not explicitly define human roles (e.g., operator, decision-maker) nor mention human-in-the-loop/on-the-loop or human-centered interaction mechanisms. Therefore, per strict criteria, the article should be excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:44.037835,11.027522325515747
rayyan-471934077,Molecular function recognition by supervised projection pursuit machine learning,exclude,"IC2 not satisfied: the abstract does not explicitly propose, implement, evaluate, or discuss explainability/interpretability/XAI mechanisms within the Digital Twin context. IC3 not satisfied: no explicit human roles or human-in/on-the-loop mechanisms are described. IC1 appears weak: while 'digital twin molecular dynamics simulations' are mentioned, Digital Twin is not presented as the central concept of the proposed architecture (the focus is a projection pursuit recurrent neural network for molecular function recognition). Therefore, required criteria are not all met; additionally, EC2 applies as the work focuses on ML/simulation without explainability or human elements.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:04:55.967272,11.928423404693604
rayyan-471934087,Cyber-Physical Loops as Drivers of Value Creation in NDE 4.0,exclude,"IC1 not satisfied: Although Digital Twin is mentioned as part of the cyber-physical loop, the abstract does not present a proposed architecture, system, or framework where Digital Twin is a central concept; the paper is described as an overview of the NDE ecosystem and value streams. IC2 not satisfied: The abstract contains no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms within the Digital Twin context. IC3 may be partially suggested by listing stakeholders (engineering, management, inspectors, service providers, regulators), but without explicit human-in-the-loop mechanisms or defined roles within a Digital Twin framework, it is insufficient. As IC1 and IC2 are unmet, the article must be excluded.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:05:09.906029,13.937738418579102
rayyan-471934096,Corporate digital responsibility (CDR) in construction engineering—ethical guidelines for the application of digital transformation and artificial intelligence (AI) in user practice,exclude,"IC1 not satisfied: Digital Twin is only mentioned in passing and is not a central concept of a proposed architecture, system, or framework; the paper focuses on corporate digital responsibility and ethical guidelines for AI in construction. IC2 not satisfied: There is no explicit proposal, implementation, evaluation, or formal discussion of explainability, interpretability, transparency, or XAI mechanisms within a Digital Twin context. IC3 not satisfied: While human-friendly AI and delineation between human and machine intelligence are mentioned, the abstract does not explicitly define human roles or incorporate human-in-the-loop/on-the-loop mechanisms. Therefore, the article does not meet the required inclusion criteria.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:05:21.229684,11.321256637573242
rayyan-471934097,Process-oriented unstable state monitoring and strategy recommendation for burr suppression of weak rigid drilling system driven by digital twin,exclude,"IC1 is satisfied: the work is explicitly driven by a digital twin and describes a digital twin system for machining state mapping and monitoring. IC2 is not satisfied: the abstract provides no explicit discussion or implementation of explainability, interpretability, transparency, or XAI mechanisms; it focuses on HMM-based state mapping, quality tracking, and GA-based strategy recommendation without mentioning explainability-related concepts. IC3 is not satisfied: there is no explicit definition of human roles or human-in-the-loop/on-the-loop interactions; recommendations are described without reference to human-centered mechanisms.",gpt-5-petrobras,PromptBuilderPhase2,2026-03-03T19:05:28.684158,7.454473972320557
