bibtex_id,title,decision,justification,model_name,prompt_version,execution_date,processing_time_seconds
rayyan-471934058,Multiscale Modeling Meets Machine Learning: What Can We Learn?,exclude,Review on ML and multiscale modeling; no Digital Twin focus or XAI/human-in-loop. Fails IC1–IC4 and triggers EC1 and EC3.,gpt-5-petrobras,2.0,2026-03-02T18:06:00.352652,5.749800443649292
rayyan-471934059,"Core, intertwined, and ecosystem-specific clusters in platform ecosystems: analyzing similarities in the digital transformation of the automotive, blockchain, financial, insurance and IIoT industry",exclude,"Article focuses on platform ecosystems and digital transformation, not Digital Twins or XAI. No DT-centric architecture, explainability, or human-in-the-loop elements; fails IC1–IC4 and meets EC1.",gpt-5-petrobras,2.0,2026-03-02T18:06:03.263010,2.907296895980835
rayyan-471934060,Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,exclude,"Focuses on CPS/PDS with hardware-in-the-loop; no Digital Twin concept, no XAI, and no human-centered interaction. Fails IC1–IC4; meets EC1/EC2.",gpt-5-petrobras,2.0,2026-03-02T18:06:10.863027,7.597987413406372
rayyan-471934061,Semantics for linking data from 4D BIM to digital collaborative support,exclude,"Article centers on 4D BIM collaboration ontology, not Digital Twins; no XAI or explainability mechanisms are proposed or evaluated. Human roles are discussed but not within a DT+XAI context.",gpt-5-petrobras,2.0,2026-03-02T18:06:16.152151,5.286082029342651
rayyan-471934062,Digital Proxy of a Bio-Reactor (DIYBOT) combines sensor data and data analytics to improve greywater treatment and wastewater management systems,exclude,The study presents a digital proxy for a bioreactor with sensor-based analytics but does not propose or evaluate explainability/XAI techniques (fails IC2) nor human-centered interaction (fails IC3–IC4). Digital Twin is not explicitly central. Falls under EC2 as predictive modeling without XAI.,gpt-5-petrobras,2.0,2026-03-02T18:06:22.733217,6.5800511837005615
rayyan-471934063,"Framework for developing alternative reality environments to engineer large, complex systems",exclude,Focuses on XR environments and human sensory design; does not address Digital Twins or XAI. Fails IC1–IC2 and meets EC1–EC2.,gpt-5-petrobras,2.0,2026-03-02T18:06:25.929535,3.1953001022338867
rayyan-471934064,What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,exclude,"Secondary study (systematic review), not centered on Digital Twins or XAI; fails IC1–IC4 and meets EC3 exclusion.",gpt-5-petrobras,2.0,2026-03-02T18:06:29.799863,3.8672938346862793
rayyan-471934065,Opportunities in intelligent modeling assistance,exclude,"No Digital Twin focus. Conceptual framework for intelligent modeling assistance, not DT; no XAI or human-centered mechanisms within a DT context.",gpt-5-petrobras,2.0,2026-03-02T18:06:35.105585,5.3046863079071045
rayyan-471934066,Moral control and ownership in AI systems,exclude,"Digital Twins are not addressed; it is a general AIS ethics paper. Fails IC1 and IC2, so EC1 applies despite human-operator discussion.",gpt-5-petrobras,2.0,2026-03-02T18:06:38.675889,3.567272186279297
rayyan-471934067,"Learn, detect, and grasp objects in real-world settings",exclude,"Digital twin used only for pose verification; no XAI techniques, explanation process, or human-centered roles described. Fails IC2–IC4 and meets EC2.",gpt-5-petrobras,2.0,2026-03-02T18:06:44.792199,6.113277196884155
rayyan-471934068,Simple machine learning allied with data-driven methods for monitoring tool wear in machining processes,exclude,"No Digital Twin concept; focuses on ML tool wear prediction without XAI or human-centered mechanisms, failing IC1–IC4 and meeting EC1/EC2.",gpt-5-petrobras,2.0,2026-03-02T18:06:47.603479,2.809262275695801
rayyan-471934069,Using large-scale augmented floor surfaces for industrial applications and evaluation on perceived sizes,exclude,Focuses on large-scale floor displays and size perception; no Digital Twin system or XAI discussed. Fails IC1–IC4 and meets EC1/EC2.,gpt-5-petrobras,2.0,2026-03-02T18:06:51.356550,3.75307035446167
rayyan-471934070,Real-time discrete event simulation: a framework for an intelligent expert system approach utilising decision trees,exclude,"The paper centers on discrete event simulation and decision trees, not Digital Twins. Explainability is discussed for DES models, not in a DT context, and no human-in-the-loop DT mechanisms are defined. Fails IC1–IC3; EC1 applies.",gpt-5-petrobras,2.0,2026-03-02T18:06:55.775017,4.417449235916138
